lhs,rhs
0,29
2,28
46,0
898,66
607,80
1153,163
432,64
1570,11
62,25
48,73
767,12
1263,70
841,14
99,40
1214,126
33,127
884,94
3,37
1064,43
1200,81
2,158
91,12
1021,53
25,98
1335,28
31,99
174,103
557,14
62,10
733,133
183,97
1329,61
281,49
701,67
712,3
1211,83
1324,106
1507,0
80,30
18,72
334,2
112,0
267,46
37,45
0,105
29,24
241,41
575,34
698,85
1046,122
981,125
625,69
713,3
982,48
150,57
4,42
168,1
320,98
757,13
373,22
1705,31
1219,39
681,2
1717,163
1270,90
313,89
24,79
173,33
8,14
116,49
326,112
80,72
1274,52
101,125
96,48
1499,82
526,138
149,10
274,3
52,52
206,93
1146,0
25,73
574,22
970,85
881,25
1503,39
1388,32
78,84
27,44
350,1
652,3
370,76
5,25
130,56
84,111
669,107
1704,65
50,1
199,25
165,85
1344,130
111,66
95,91
451,118
349,6
7,85
63,164
303,68
30,58
271,88
425,135
94,68
269,131
1101,112
1002,111
300,33
0,143
575,55
563,132
67,159
1550,42
127,121
42,109
483,43
36,105
26,151
74,13
0,11
323,155
64,38
1028,10
564,50
66,16
329,157
64,6
255,99
57,26
302,4
102,37
881,41
1115,17
650,114
1125,6
1504,15
991,111
503,71
1208,23
1305,120
211,138
16,102
1159,84
841,104
1075,1
1441,10
564,92
72,9
445,108
3,48
683,48
925,65
807,119
72,63
35,5
34,157
38,139
1688,16
0,99
1628,11
998,42
30,102
108,21
10,38
179,98
1362,18
534,155
694,20
35,11
1181,31
8,0
5,10
15,65
728,13
412,27
239,98
1448,12
205,23
78,82
0,53
729,154
133,53
43,4
909,150
1706,0
273,108
524,146
75,85
343,48
711,43
476,0
1131,146
48,152
9,115
1137,41
22,7
3,84
229,75
1129,46
1393,8
1081,114
369,88
29,13
500,0
178,127
47,12
899,55
1523,41
81,145
951,76
369,152
28,16
326,53
899,51
0,3
1089,82
0,35
1416,123
375,8
1367,141
0,57
1484,13
600,157
1,79
0,31
1207,55
197,63
470,23
867,43
5,127
198,110
467,123
274,70
213,37
216,14
175,73
34,135
970,151
30,59
137,111
1130,105
225,154
334,82
47,154
311,27
653,3
145,24
905,3
1013,102
942,38
72,60
393,85
1259,62
311,72
1273,108
2,60
35,63
218,160
497,27
66,17
39,9
743,106
542,4
21,136
118,76
33,107
834,55
30,116
4,136
15,0
112,83
1648,125
36,142
701,142
70,55
449,0
544,142
1385,80
1441,67
1,87
883,59
847,100
93,118
130,85
1400,158
9,29
310,13
766,160
4,25
6,85
106,10
563,103
643,35
9,47
339,143
37,37
4,15
1571,4
1564,37
829,45
29,118
104,32
0,42
1588,2
994,64
1277,102
61,154
1647,164
479,161
812,133
0,3
536,28
151,2
1149,118
72,130
225,101
206,75
47,132
54,3
523,102
4,46
265,121
233,96
1487,33
1556,9
85,28
349,159
281,25
779,37
0,69
604,117
2,43
1007,94
658,150
7,12
1302,55
1,67
589,83
61,87
1058,165
719,19
468,90
1390,90
1479,13
32,133
1005,97
0,99
892,49
685,112
100,7
955,116
80,151
1361,2
20,154
692,50
1365,29
0,22
452,55
37,20
141,73
653,70
729,52
1054,113
1516,128
0,35
15,34
5,141
108,105
1570,34
1690,102
700,2
119,97
13,139
20,43
432,115
1112,165
548,20
222,70
149,125
335,63
1044,3
640,135
1200,114
236,136
1414,0
850,145
1739,7
81,7
83,163
127,40
7,30
48,39
8,62
1637,1
25,26
7,57
210,134
1015,89
50,4
359,118
5,35
156,123
805,44
479,143
1654,1
21,88
476,40
1326,32
830,20
68,139
50,8
18,156
1629,86
311,65
33,49
1168,13
118,122
966,24
1579,16
859,0
420,156
88,61
212,34
1551,74
872,79
0,9
291,142
27,27
1506,55
398,9
36,80
737,151
1252,140
942,154
280,31
715,155
15,33
983,141
1173,44
553,119
571,23
141,75
1053,33
276,133
177,9
0,92
1416,132
33,134
905,120
663,67
1490,5
7,67
100,79
13,6
773,35
219,79
1,93
988,146
1193,91
332,73
156,63
536,23
176,18
103,75
795,50
90,159
214,47
271,127
1378,159
1222,12
447,150
65,112
7,6
14,48
1670,5
326,47
64,30
325,7
1257,124
1126,77
0,9
1,23
1614,63
1618,128
266,149
62,44
3,37
24,17
1136,43
1181,14
0,146
173,89
4,27
9,33
133,4
1,53
29,66
254,100
365,53
919,31
1636,56
153,17
12,119
0,120
0,122
1,9
1155,156
1198,116
1575,5
190,33
1280,154
37,58
92,74
277,24
1394,61
1562,1
1253,103
424,24
1736,21
108,124
623,0
14,9
35,138
1178,82
813,4
675,15
850,46
601,151
201,10
468,47
4,32
5,148
1103,111
39,71
360,49
1721,62
281,73
900,90
116,93
1587,122
424,12
21,136
533,146
657,3
7,30
49,23
1194,4
31,34
1530,0
174,138
801,8
467,8
919,136
965,16
309,141
1351,28
1122,31
1655,82
204,65
1,60
13,102
198,39
205,123
195,150
204,122
243,86
232,5
16,21
703,132
735,48
195,57
1166,75
1344,120
112,113
90,98
1,38
1624,78
832,29
349,126
730,53
635,165
679,125
697,6
378,3
654,31
1189,17
1375,32
1677,39
755,162
1137,159
1014,16
1610,163
64,142
266,5
11,39
1244,47
99,5
251,91
41,28
1445,122
165,127
617,105
1221,34
13,55
0,146
913,0
507,30
1017,76
194,115
211,44
1575,3
147,101
462,130
456,94
1074,12
4,30
31,111
1234,73
277,143
1500,124
1469,7
919,1
160,74
24,138
1,100
22,74
371,78
104,26
584,156
376,11
1351,17
173,40
4,47
387,86
48,126
237,5
17,10
1369,31
627,141
465,63
246,109
22,77
127,93
1305,48
1662,123
883,19
1352,91
14,58
580,3
17,65
1335,26
43,72
1686,125
1006,12
579,149
511,67
836,104
172,3
31,63
61,34
81,0
46,155
441,54
612,150
1622,30
314,6
2,119
1247,86
632,72
1299,111
586,57
943,29
1619,90
783,5
259,165
290,131
566,132
651,135
75,131
39,107
362,129
1460,105
42,120
0,111
7,100
4,69
0,87
28,130
1072,99
825,87
1456,74
1269,13
825,54
184,164
51,28
17,119
180,98
30,122
1408,13
1141,108
1293,36
248,158
231,67
1321,45
960,53
466,97
1709,87
0,120
146,47
105,144
269,35
295,68
32,5
299,121
198,36
784,163
136,65
12,43
299,12
266,113
79,31
76,100
158,72
527,20
1040,125
948,44
128,143
98,119
431,74
1079,49
1116,141
13,154
60,3
159,52
196,114
80,0
621,160
5,79
909,14
1275,39
395,3
1390,111
36,64
121,130
1120,55
106,19
102,54
562,100
165,108
91,59
48,96
200,1
401,124
328,27
1147,8
19,138
1738,116
463,72
700,101
960,33
1138,131
928,161
475,122
255,75
2,36
1718,118
50,107
89,7
59,0
340,154
120,5
1681,60
124,47
22,133
992,60
287,65
1055,53
135,15
775,32
845,124
24,1
251,39
19,131
145,120
381,99
50,83
625,17
760,37
3,39
492,130
1490,22
662,10
851,144
125,78
1371,18
1158,136
140,12
2,154
332,12
1290,9
0,131
372,118
573,102
298,45
2,121
624,111
825,65
5,19
183,27
104,40
1086,13
105,41
522,12
845,143
1344,77
276,15
64,1
266,133
1033,52
6,50
636,47
9,26
151,52
1159,48
17,51
412,34
67,24
3,9
1253,36
55,163
916,41
323,78
20,138
0,88
76,165
225,47
863,107
1216,161
198,104
576,154
1635,1
323,120
0,13
395,34
214,35
1616,55
1386,96
83,13
188,83
148,155
4,28
552,3
1350,36
6,80
1642,34
962,36
283,59
126,32
1156,10
614,138
192,8
1068,158
167,148
0,57
467,56
551,83
527,8
1394,23
250,58
1257,36
5,1
128,21
848,34
65,21
138,66
0,154
518,127
1044,130
140,46
295,47
932,59
36,17
484,70
585,30
1,113
64,91
0,150
25,9
92,132
1284,97
21,55
1277,92
589,120
128,37
81,18
38,160
212,31
272,4
1144,137
1375,66
1735,108
121,100
123,37
449,44
6,108
7,16
134,31
208,40
21,87
12,141
1149,49
184,9
826,162
1033,22
115,0
853,98
889,85
305,157
700,75
87,86
121,11
101,24
169,15
357,94
368,69
658,46
454,40
227,21
375,66
727,124
83,21
926,4
1280,166
47,99
509,54
193,160
707,19
1485,22
299,63
1017,76
220,131
652,8
196,1
146,16
703,37
334,74
34,50
95,14
724,64
119,1
892,4
1504,21
624,138
509,5
618,77
346,89
994,94
652,106
217,27
704,98
47,28
1,3
347,149
1684,110
58,35
14,136
620,96
11,72
231,118
1497,117
320,81
415,42
1378,46
322,0
525,85
113,53
1568,103
41,30
1602,153
1563,60
975,59
0,103
1181,38
40,46
3,44
748,117
1087,50
0,112
1389,39
965,32
830,91
523,161
221,58
1090,19
329,101
1072,23
454,125
953,96
1286,25
219,69
568,162
206,109
1168,33
209,149
47,109
1000,15
1427,110
236,133
46,47
866,149
309,84
97,33
874,124
898,77
995,75
384,38
786,94
10,58
533,72
14,147
11,14
222,16
1584,84
647,77
516,117
51,11
34,16
1019,106
1049,75
355,100
41,101
1479,47
82,46
961,66
1079,5
193,21
321,1
565,118
444,64
12,143
198,25
875,83
134,53
1030,18
80,15
601,61
1681,116
542,60
1728,82
535,98
857,1
2,54
1713,131
6,56
136,26
706,78
244,22
345,105
273,46
402,126
896,77
87,104
1536,132
952,145
803,106
113,1
458,29
304,92
1593,64
1101,12
0,30
52,74
307,48
234,158
1514,0
37,31
8,83
16,113
295,34
75,119
883,23
0,20
41,23
86,87
1028,30
1062,2
17,21
384,102
271,113
6,52
184,141
1396,51
1109,54
800,4
779,80
1701,42
1720,133
1277,28
589,120
477,1
868,13
465,54
516,58
315,5
0,126
163,126
50,150
165,55
848,61
187,134
600,31
553,107
128,29
7,52
395,50
75,55
198,36
83,41
175,39
1715,159
403,87
39,9
22,54
237,0
1326,18
25,82
683,45
126,103
1517,138
122,22
460,86
51,70
1084,15
736,18
19,6
1343,142
1037,100
398,12
433,48
1332,13
1640,57
710,32
1525,89
36,164
2,104
84,39
180,102
239,91
1515,0
16,4
1386,145
1259,22
541,33
156,98
1,93
86,160
1615,139
119,147
579,12
1044,131
3,123
447,110
6,77
2,34
792,50
532,134
678,107
722,29
1,65
1,36
9,94
7,47
554,152
95,135
618,7
430,130
1667,62
264,27
556,56
1217,27
1236,9
88,61
101,135
292,89
69,63
851,62
669,119
156,71
1117,99
875,13
1178,45
0,14
1674,60
1436,147
296,45
18,147
493,25
100,74
3,134
2,121
1012,19
96,30
1397,77
1329,92
379,147
1121,116
15,30
0,118
40,152
0,13
1530,83
918,117
394,12
0,19
1570,126
399,55
21,106
346,112
1094,25
3,0
227,2
926,131
570,107
87,87
506,126
984,120
157,43
309,160
1731,2
1004,11
579,63
361,73
1304,71
1317,51
27,47
1677,32
996,122
207,19
31,118
114,35
167,31
27,33
1312,53
436,56
715,38
1017,103
1446,80
405,158
1552,55
1719,2
1345,29
34,23
1233,69
1393,135
540,6
466,19
0,159
156,22
571,95
132,121
430,64
50,55
9,10
686,90
97,73
390,8
21,39
1568,46
1,90
7,60
1663,34
1507,55
193,139
194,22
567,22
1487,3
4,74
53,42
1219,100
816,108
31,102
178,136
1427,105
725,117
986,10
346,156
477,89
480,73
741,143
230,2
336,39
1000,10
1457,73
51,41
95,31
562,30
72,65
1075,2
774,72
57,87
2,123
1020,54
38,95
750,82
16,32
1468,1
0,163
836,141
208,42
324,114
951,61
8,7
1610,57
77,11
5,132
738,60
276,101
703,102
1346,147
986,57
114,51
909,22
97,36
542,6
0,2
273,23
154,96
238,20
714,63
53,6
1517,82
293,106
1196,7
385,16
389,139
1185,29
354,1
444,41
515,44
337,145
1464,4
144,94
339,31
2,93
1010,131
40,83
703,73
179,103
204,122
1462,0
81,156
939,97
1268,9
670,40
284,111
84,126
353,41
4,122
665,20
12,70
9,38
304,36
727,140
503,28
511,1
1462,23
979,7
1306,0
99,30
713,84
308,2
1635,128
1476,55
20,104
748,78
250,11
1554,77
1324,35
182,1
134,79
99,102
1703,34
16,38
226,0
1488,65
742,22
1402,40
6,60
1493,22
1026,145
1373,124
7,122
1136,8
970,22
750,69
29,96
73,55
198,123
172,1
252,16
38,27
91,79
1385,59
688,110
0,48
452,126
286,142
869,2
1356,15
205,61
115,5
1083,8
578,58
1109,56
29,0
190,118
80,126
523,37
354,69
67,9
42,151
1033,12
1094,45
7,19
472,109
948,134
1165,29
3,97
366,18
302,18
1469,38
634,27
3,105
70,131
210,62
668,54
1461,15
123,94
0,55
0,47
7,68
55,135
1097,11
234,36
69,116
152,8
336,120
122,9
1516,97
152,158
558,109
464,147
188,29
1583,35
318,156
216,34
1107,114
121,98
245,69
10,104
101,15
107,45
41,123
118,135
0,28
462,92
180,163
55,128
516,71
129,14
1401,9
1598,5
10,47
1016,29
1030,9
1254,161
1096,51
475,115
790,32
243,31
890,132
343,58
1049,53
62,131
1599,122
679,74
0,17
1084,36
214,52
449,19
926,2
78,7
483,49
1351,18
25,25
1047,13
517,85
550,26
121,110
374,120
230,150
164,31
226,78
120,70
5,22
955,28
2,56
11,57
68,5
131,90
47,6
1098,11
23,82
583,39
86,120
1147,122
48,11
124,87
1595,0
344,51
483,32
462,3
382,97
236,134
230,18
1540,88
91,74
615,6
11,119
177,111
0,25
480,25
25,119
24,48
20,29
1093,12
1027,90
126,72
1427,7
78,9
494,142
23,3
884,7
213,39
22,67
189,32
18,75
407,157
146,129
532,102
1589,14
887,100
524,5
192,36
3,107
1055,116
490,31
206,32
1322,111
1001,47
74,0
1006,88
54,96
272,36
1572,81
21,114
8,13
1391,13
489,62
99,117
34,11
797,148
1526,123
908,124
4,0
1245,101
269,149
1117,129
1079,158
1030,3
290,10
247,66
450,86
987,32
81,77
409,29
1,20
182,38
1288,57
1241,78
196,5
685,58
451,98
0,73
664,112
706,32
1,128
1643,19
0,35
1483,84
281,100
1030,80
1485,151
277,24
56,0
11,69
354,164
1493,17
34,80
472,42
1651,8
1208,155
943,91
535,112
595,88
1732,95
108,12
59,65
1149,9
540,121
797,54
724,44
443,66
349,142
111,71
218,13
52,3
0,66
1226,146
102,79
712,98
261,13
97,75
19,128
21,143
9,132
92,59
0,21
69,147
551,17
1352,57
200,114
682,14
200,71
1506,71
1115,41
290,157
1052,125
196,129
586,147
35,84
1,60
504,135
16,86
19,77
597,96
5,95
1562,133
618,58
1505,159
1222,103
677,5
171,47
75,81
1012,92
1,8
964,73
323,108
1204,7
272,131
