column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20
0,1,0,0,2,0,2,2,2,2,2,14,2,2,2,22,4,4,2,0
0,1,0,0,2,2,3,0,3,0,1,13,1,0,0,0,0,0,1,0
0,1,0,0,1,0,2,2,2,2,7,13,1,0,0,0,1,1,0,0
4,2,4,2,2,2,3,0,1,2,11,6,1,2,0,20,0,0,2,0
1,1,2,1,2,1,2,0,1,2,14,6,2,1,3,13,0,3,2,0
0,1,0,0,2,2,3,0,1,2,19,13,1,1,3,13,3,3,2,0
0,1,0,0,1,3,3,1,2,2,13,17,1,0,1,1,1,1,2,0
4,2,0,0,1,0,2,0,1,2,8,18,2,0,3,3,2,0,1,0
4,2,0,0,4,0,0,1,1,0,12,4,0,2,2,22,3,3,2,0
0,1,0,0,1,0,2,1,1,0,2,18,2,1,1,11,1,3,2,1
0,1,1,0,1,2,2,0,1,2,3,0,0,0,4,4,0,2,1,0
4,2,0,0,3,0,1,1,2,2,5,14,2,1,4,14,4,4,2,1
1,1,0,0,2,2,3,0,2,0,7,13,1,1,1,11,2,2,0,0
0,1,4,2,2,2,3,1,1,0,17,14,2,0,0,0,4,2,0,0
2,1,4,2,2,3,1,2,3,2,4,13,1,1,0,10,2,1,2,0
0,1,3,1,2,1,2,1,1,0,0,0,0,1,0,10,0,0,0,0
0,1,0,0,2,0,2,2,0,1,20,6,2,2,0,20,0,1,2,1
0,1,0,0,2,2,3,0,3,0,15,8,0,1,3,13,2,2,2,0
1,1,4,2,2,0,2,0,2,0,5,6,2,2,4,24,0,0,0,1
1,1,0,0,3,2,3,2,1,2,13,13,1,0,3,3,0,0,1,1
0,1,0,0,2,0,2,2,2,2,6,8,0,2,3,23,1,1,1,0
2,1,0,0,2,0,2,2,1,2,6,16,0,0,3,3,2,2,2,0
0,1,0,0,2,2,3,0,1,2,4,9,1,1,1,11,0,0,1,2
4,2,0,0,2,3,1,2,2,2,17,14,2,0,0,0,1,1,0,0
3,0,2,1,2,1,2,1,0,1,12,12,0,0,3,3,0,1,2,0
3,1,2,1,2,2,3,0,2,0,19,9,1,0,4,4,0,0,2,1
1,1,4,2,4,3,2,0,1,2,1,9,1,1,2,12,0,1,0,0
