column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20
0,1,0,0,2,0,2,2,2,2,2,6,2,1,0,10,4,1,0,0
1,1,3,1,1,2,2,0,2,0,12,12,0,2,3,23,4,1,0,0
1,1,0,0,2,1,2,1,3,1,17,6,2,0,4,4,0,2,0,0
1,0,2,1,1,0,2,1,1,2,5,2,2,1,4,14,2,2,2,1
0,0,2,1,2,2,3,2,0,1,1,13,1,2,4,21,0,2,1,0
2,0,4,2,1,0,2,0,1,2,6,0,0,2,2,12,2,0,1,0
2,0,1,0,2,1,2,0,1,2,0,0,0,2,2,12,3,3,2,0
2,0,0,0,2,1,2,0,1,2,20,6,2,0,2,2,3,3,1,1
0,0,0,0,3,0,1,2,2,2,10,13,2,2,4,24,3,1,1,1
0,0,4,2,3,3,1,0,1,2,3,16,0,0,4,3,4,4,0,1
1,1,4,0,1,3,2,2,1,2,13,13,1,0,2,3,4,3,2,1
2,1,4,2,2,0,2,2,1,2,12,0,0,2,2,23,3,4,0,0
0,1,4,0,2,0,2,0,1,2,16,17,1,1,1,11,3,3,1,0
0,0,0,0,4,1,2,2,2,2,14,17,2,2,3,23,0,0,0,0
0,0,2,1,1,1,2,2,3,1,7,1,1,2,3,3,3,3,1,0
0,0,0,0,1,1,2,0,1,2,16,13,1,2,1,21,0,0,2,0
0,0,0,0,2,0,2,3,3,0,2,18,2,0,2,2,3,3,2,1
0,0,2,1,2,0,2,3,1,2,17,6,2,0,2,1,3,3,2,0
0,0,4,2,1,0,2,1,2,2,1,9,1,1,0,10,0,0,2,0
0,1,0,0,3,0,1,0,1,2,1,9,1,1,0,10,1,1,1,0
0,1,0,0,2,1,2,1,1,0,20,14,2,2,1,21,1,1,0,0
1,1,4,2,1,2,2,1,2,2,18,20,0,0,1,1,3,3,1,0
1,1,0,0,3,3,2,0,1,0,5,6,2,1,0,1,0,3,2,1
0,0,0,0,2,0,2,2,1,2,5,18,2,2,4,24,0,0,2,0
0,0,0,0,1,0,3,0,1,2,10,13,1,2,1,1,1,1,0,0
1,1,0,0,2,0,3,0,1,2,20,13,2,1,2,11,3,4,2,1
0,0,0,0,1,3,3,1,1,0,0,4,0,2,2,22,0,0,2,0
0,0,0,0,2,0,3,2,1,2,8,2,2,1,0,10,2,2,1,0
1,1,2,1,2,2,3,0,1,0,8,6,2,1,0,0,4,3,0,0
1,1,2,0,2,2,3,2,2,2,16,17,1,2,1,21,1,1,0,0
0,0,0,0,2,2,3,0,0,0,16,8,0,2,4,14,0,0,1,1
1,1,0,0,1,2,2,2,0,2,11,14,2,2,3,23,0,3,1,0
1,0,4,2,1,0,2,4,1,2,1,1,1,0,4,4,0,1,1,0
0,0,0,0,2,1,2,0,2,0,10,9,1,2,1,21,0,3,0,0
0,0,2,1,2,0,2,0,1,2,4,9,1,2,1,1,3,3,2,0
0,0,0,0,2,0,2,0,2,0,5,10,2,2,4,4,1,0,0,0
1,1,0,0,2,2,2,2,1,2,19,1,1,2,4,24,2,3,1,0
1,1,0,0,2,2,3,0,1,2,4,5,1,0,4,4,2,2,0,0
1,1,1,0,2,0,2,2,2,2,6,20,0,2,2,22,0,0,1,0
0,0,4,2,4,2,3,3,1,0,20,14,0,2,2,12,2,0,1,1
2,2,4,2,4,0,0,1,1,0,5,10,2,2,1,21,1,2,1,0
0,0,4,0,1,0,0,1,1,0,16,1,2,0,2,22,3,3,0,0
0,0,0,0,2,3,1,1,2,0,6,1,1,0,1,1,3,1,1,0
1,1,0,0,2,1,2,3,2,1,19,17,1,0,2,1,1,1,0,0
0,0,0,0,1,2,2,2,2,2,6,4,0,2,2,20,1,0,1,1
0,0,2,0,2,0,2,2,3,2,20,16,0,1,4,14,1,1,0,1
1,1,2,1,1,0,2,2,1,0,20,6,2,0,1,1,0,0,2,0
1,1,0,0,4,2,3,0,2,2,2,18,2,2,4,24,2,2,1,0
1,1,0,0,2,0,2,0,2,0,4,5,1,0,2,2,1,3,0,0
1,0,0,0,2,1,2,2,1,2,3,8,2,1,3,13,1,3,1,0
1,1,2,1,2,0,2,2,1,2,3,18,2,1,3,14,1,2,2,0
1,1,1,0,2,1,2,2,1,2,8,18,2,1,4,14,0,0,0,0
1,0,0,0,2,2,3,1,2,2,9,0,0,2,0,20,0,2,2,1
0,0,0,0,3,0,1,1,1,0,10,1,1,1,4,14,4,2,2,0
0,0,0,0,3,0,1,0,1,2,0,4,1,1,1,11,3,4,2,0
0,0,0,0,1,0,2,1,1,0,9,0,0,1,2,12,4,1,2,0
0,0,0,0,4,2,3,1,2,2,6,12,0,0,2,12,4,1,0,0
1,1,1,0,1,0,2,2,3,2,13,5,1,1,2,12,2,1,2,0
0,0,0,0,2,0,2,1,3,0,0,16,0,1,2,4,0,2,2,0
0,0,0,0,2,0,0,0,2,0,16,13,1,0,4,4,4,0,2,1
0,0,1,0,4,1,0,2,1,0,13,1,1,1,4,14,1,2,0,0
0,0,1,0,1,1,2,0,1,2,18,12,0,1,4,14,1,2,0,0
0,0,0,1,2,3,1,0,1,0,6,12,0,0,3,3,1,1,0,1
0,0,2,1,2,0,2,0,2,0,17,12,2,2,2,22,2,1,0,0
0,0,0,0,3,0,1,0,1,2,15,4,0,1,2,12,3,3,0,1
0,0,4,2,4,2,3,1,1,0,13,9,1,2,4,24,3,3,2,0
2,2,4,2,4,3,3,0,2,0,12,0,0,2,2,22,4,1,1,0
0,0,4,2,2,0,2,0,1,0,9,0,0,0,2,3,3,3,0,1
0,0,0,0,2,0,2,1,1,2,19,13,1,2,3,23,1,2,0,0
1,1,0,0,1,0,2,0,1,2,4,9,1,1,4,14,0,0,0,0
0,0,0,0,3,0,1,1,1,0,12,12,0,1,0,10,4,4,1,0
0,0,0,0,3,0,1,0,2,0,15,4,0,1,1,11,0,0,1,0
0,2,0,2,2,2,3,2,2,2,18,0,0,2,1,11,1,2,1,1
1,1,2,1,2,0,3,0,1,2,10,0,0,2,1,21,4,2,1,1
0,0,2,0,3,0,3,1,1,0,0,12,0,1,0,11,4,3,2,0
0,0,4,1,2,2,3,1,1,2,13,5,1,1,0,10,3,0,2,0
0,0,2,1,2,2,3,0,1,2,12,5,0,2,0,20,1,3,2,0
1,1,0,0,4,0,0,2,1,2,18,8,0,2,4,24,4,3,2,1
0,0,2,0,2,2,3,0,1,2,2,10,2,1,1,11,1,1,0,0
1,1,4,2,2,2,2,0,1,2,8,18,2,0,3,3,4,4,0,0
0,0,3,1,2,0,2,0,1,2,3,20,0,2,1,21,1,1,0,0
0,0,0,0,3,2,3,1,1,0,5,20,2,2,4,24,3,3,0,0
0,2,0,0,3,1,3,3,1,2,14,10,2,1,1,24,4,1,2,0
2,2,0,1,2,2,3,3,1,2,13,9,1,0,0,0,1,1,2,0
0,0,4,2,2,0,2,0,2,0,20,10,2,0,1,1,2,2,1,0
0,0,0,0,1,0,2,0,1,0,20,10,0,1,2,12,4,3,1,0
0,0,2,1,2,0,2,0,1,2,17,18,2,0,3,3,3,3,2,0
0,0,2,1,4,0,0,0,0,0,11,2,2,0,1,1,2,3,1,0
1,1,0,0,4,0,0,0,1,2,1,2,1,1,0,10,2,2,1,0
0,0,4,2,2,0,2,0,1,2,1,1,1,0,3,13,4,4,2,0
0,0,0,0,2,0,2,0,1,2,7,13,1,0,4,4,0,1,2,0
0,0,0,0,2,1,2,2,1,2,1,13,1,0,4,12,0,0,2,0
0,1,0,0,2,0,2,2,2,2,1,18,2,2,1,21,1,1,0,1
1,1,0,0,2,2,3,0,2,2,15,16,0,1,1,11,0,0,0,0
0,0,4,2,2,2,2,0,2,0,17,2,2,1,1,14,2,2,2,0
0,0,2,1,2,1,2,0,3,0,18,8,0,1,4,14,0,0,1,1
1,1,0,1,2,2,3,2,1,2,19,9,1,0,4,14,3,1,1,1
1,0,0,0,2,0,2,0,1,2,10,1,1,2,4,22,1,1,1,0
1,1,0,0,2,2,3,1,1,0,14,2,2,0,1,1,2,3,0,0
0,1,0,0,2,0,2,3,2,1,18,8,2,1,1,11,0,0,2,0
0,0,0,0,2,0,2,2,1,2,16,9,1,2,3,23,2,2,1,1
0,0,0,0,2,1,2,0,3,0,19,9,1,0,2,2,3,3,0,0
0,0,4,2,2,1,3,1,1,0,0,8,0,0,2,2,2,2,0,0
1,1,4,0,1,0,3,1,0,0,5,14,2,0,2,2,4,4,0,0
0,0,0,0,2,0,1,2,1,2,17,10,2,0,1,1,2,2,2,0
0,0,0,0,2,1,2,1,3,1,11,6,2,0,0,0,2,0,0,0
1,1,0,0,3,0,1,1,1,2,11,2,2,2,4,20,4,4,2,1
0,0,0,0,3,2,3,2,1,2,14,6,2,2,4,4,2,2,2,0
2,0,0,0,2,2,2,0,1,2,8,10,2,0,4,14,4,4,1,0
0,0,2,1,2,2,3,1,1,0,8,2,2,1,4,11,4,4,0,0
0,0,0,0,1,0,2,1,1,0,12,0,0,0,3,11,4,4,0,0
0,0,0,0,2,1,2,4,1,2,9,20,0,0,0,0,2,2,0,0
0,0,2,0,2,0,2,4,2,2,17,14,2,0,0,3,1,1,0,0
0,0,4,2,2,1,2,0,0,0,17,0,0,0,2,2,3,3,2,0
0,0,2,1,2,0,2,0,1,2,20,2,2,2,2,21,1,1,1,0
1,1,0,0,2,1,2,0,1,2,8,2,2,1,0,10,1,1,1,0
0,0,0,0,2,2,3,1,1,0,20,6,2,1,4,4,3,3,0,1
0,0,0,0,1,1,2,1,2,2,14,6,2,2,0,20,4,3,1,1
0,0,4,2,2,0,2,1,1,0,5,10,2,2,0,0,2,0,1,0
0,0,0,0,4,0,0,0,1,2,4,9,1,2,0,20,2,3,0,1
0,1,0,0,2,2,3,0,2,0,20,10,2,0,0,3,0,0,0,1
0,0,1,0,2,0,2,4,1,2,6,0,2,1,4,14,3,0,2,0
0,0,0,0,2,2,3,0,1,2,6,6,2,2,0,20,0,0,1,1
2,0,2,1,2,0,3,1,1,0,11,18,2,1,1,11,3,3,0,1
1,1,0,0,3,0,2,4,1,2,8,18,2,1,1,10,0,1,0,0
0,0,0,0,1,0,2,3,1,0,13,1,1,1,0,10,4,1,1,1
1,1,0,0,3,2,3,2,0,1,2,18,1,2,1,21,1,0,1,1
0,0,0,0,2,1,2,2,1,2,2,2,2,2,1,21,0,0,0,0
0,0,0,0,3,2,2,2,1,2,11,2,2,0,1,1,1,1,1,0
0,0,0,0,0,2,1,0,1,2,10,17,1,1,4,14,2,2,0,0
2,2,0,0,0,0,2,2,1,2,17,6,2,0,3,3,1,1,2,0
1,1,0,0,2,0,2,1,2,2,8,18,1,0,2,2,1,2,0,0
0,0,1,0,2,1,2,1,0,1,1,13,1,2,3,23,3,3,1,0
0,0,2,1,3,1,1,0,3,0,19,13,1,1,2,12,4,2,2,2
1,1,0,0,2,3,1,4,1,0,18,20,0,2,2,12,2,1,2,0
0,0,0,0,2,1,2,2,3,2,5,6,2,2,3,23,2,2,1,0
0,0,0,0,2,0,2,2,1,2,14,2,2,2,4,23,2,2,0,1
1,0,0,0,1,1,2,0,1,2,8,6,2,0,0,20,3,2,2,0
1,1,2,1,2,2,3,1,1,0,8,4,0,0,0,0,2,3,0,0
2,2,0,0,2,3,1,0,0,0,0,12,2,0,2,2,3,3,1,0
2,2,4,2,2,0,2,0,3,0,5,14,2,0,2,2,2,4,2,0
2,1,4,0,2,3,1,2,3,2,1,9,1,1,2,12,2,2,0,1
0,0,0,0,4,3,1,0,3,0,3,0,0,2,2,22,2,2,0,1
0,0,0,0,2,0,3,0,3,0,11,14,2,1,2,12,2,2,0,0
2,2,0,0,3,1,3,0,2,0,12,0,0,2,4,24,2,4,0,0
0,0,4,2,4,0,0,2,1,2,12,0,2,0,1,4,2,2,0,0
1,1,0,0,4,0,2,1,2,2,14,10,2,1,2,11,1,1,0,1
2,2,0,0,2,0,2,1,2,1,20,6,2,1,2,12,4,1,2,0
0,0,0,0,2,0,2,2,1,2,2,2,2,1,0,10,3,4,2,0
1,1,0,0,2,3,1,0,1,0,20,2,2,1,0,0,3,0,0,0
1,2,2,1,2,0,2,0,2,0,14,2,2,2,3,0,0,0,2,0
0,0,1,0,2,0,2,0,2,2,10,9,1,2,3,12,0,4,2,0
0,0,0,0,1,0,2,1,2,2,17,18,2,0,0,0,4,4,2,0
1,1,0,0,2,0,2,0,3,0,16,5,1,1,3,13,4,2,1,0
1,0,0,2,2,0,2,2,1,0,16,14,2,1,3,13,4,4,0,0
0,0,4,2,4,0,0,4,1,2,4,9,1,2,4,24,4,0,0,0
0,0,4,2,4,1,2,0,1,2,5,2,2,2,4,24,0,1,1,0
0,0,2,1,1,2,2,1,1,0,5,9,1,1,4,14,0,0,1,0
0,0,4,2,1,2,2,1,1,0,4,9,1,2,0,20,2,4,1,0
0,0,0,0,1,2,2,1,2,2,11,9,2,2,1,21,3,3,0,0
0,0,0,1,2,0,2,2,3,2,1,9,1,2,2,22,2,4,1,0
2,2,0,0,2,0,2,0,2,0,1,5,1,0,3,3,4,0,2,0
0,2,1,0,1,1,2,0,1,2,13,1,1,1,3,13,0,0,0,0
1,1,0,0,2,1,2,0,2,0,5,18,2,2,1,21,3,0,1,0
1,1,4,2,2,0,2,0,1,2,10,1,1,0,1,4,3,3,1,1
1,0,0,0,2,0,2,0,2,0,18,8,0,1,2,12,2,2,1,0
0,0,4,2,1,0,2,1,1,0,15,4,0,1,2,12,3,3,1,0
0,0,4,2,2,2,3,0,1,2,19,5,1,0,4,4,1,1,2,0
0,0,4,0,0,0,2,0,3,1,7,1,1,2,1,21,2,2,1,1
0,0,4,2,2,0,2,2,1,2,7,5,1,1,1,11,3,2,1,1
1,1,4,2,2,3,1,0,2,0,3,8,1,2,0,20,2,2,1,0
1,1,0,0,4,0,0,2,2,2,7,17,1,2,1,21,1,1,2,0
0,0,0,0,4,0,2,2,3,2,7,18,2,2,3,21,1,3,2,0
0,1,0,0,1,2,3,2,1,2,4,18,1,0,1,1,0,0,1,0
1,1,2,1,4,0,0,0,1,2,19,5,1,1,3,13,3,3,0,0
0,0,0,0,0,3,0,2,1,2,13,9,1,1,3,13,2,3,0,0
0,0,2,1,0,0,1,0,1,2,2,18,2,0,3,3,2,1,2,0
0,0,0,1,2,0,1,0,1,0,20,6,2,0,3,3,1,1,2,0
0,0,3,1,2,1,2,1,3,0,0,10,0,2,1,3,3,3,0,0
0,0,0,0,1,2,2,0,3,0,14,10,2,1,1,3,1,1,2,0
2,2,2,1,1,0,2,0,2,0,14,5,2,2,4,24,0,0,1,0
1,1,0,0,2,1,2,0,3,0,13,8,0,2,2,22,3,1,1,1
1,2,2,1,2,1,2,2,2,0,7,13,1,1,1,11,3,1,2,0
0,0,0,1,2,0,2,1,3,1,19,1,1,2,2,11,4,2,1,0
0,0,0,0,3,0,1,2,1,2,14,14,2,0,0,0,3,4,1,0
0,0,0,0,3,1,3,3,3,0,2,14,2,1,4,14,3,3,2,1
0,0,0,0,2,0,2,3,1,0,2,14,2,1,4,14,2,4,0,0
1,1,0,0,2,2,3,0,2,0,16,5,2,1,1,11,2,0,2,0
1,1,0,0,2,3,1,0,1,2,3,4,0,1,3,13,0,2,0,0
2,2,1,0,2,0,2,2,1,2,8,0,0,2,0,20,2,2,1,0
0,0,0,0,2,0,2,0,2,0,8,6,2,2,2,22,2,0,0,0
0,0,0,0,2,0,2,0,3,0,6,0,0,2,3,23,2,0,1,0
0,0,3,1,3,2,1,0,3,0,4,9,1,0,1,1,3,3,2,0
0,0,2,1,2,2,3,2,2,2,9,8,0,1,0,1,3,3,0,0
0,0,4,2,1,0,2,2,1,2,8,10,2,1,0,10,3,0,0,0
0,0,0,0,2,2,3,0,1,2,12,16,2,1,0,11,2,2,1,0
0,0,3,1,2,0,2,3,1,0,3,16,0,2,1,21,2,4,2,0
1,1,3,0,2,1,2,0,1,0,20,6,2,2,2,22,3,4,2,1
1,1,0,0,2,2,3,1,2,2,3,12,0,2,0,20,0,3,0,0
1,1,1,0,3,0,1,0,2,0,19,5,1,2,1,1,3,2,1,0
