ProviderNumber,HospitalName,City,State,ZIPCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Sample,StateAvg
190251,SURGICAL SPECIALTY CENTER OF BATON ROUGE,BATON ROUGE,LA,70810,EAST BATON ROUGE,2254085500,Acute Care Hospitals,Proprietary,No,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,,LA_AMI-2
490127,BUCHANAN GENERAL HOSPITAL,GRUNDY,VA,24614,BUCHANAN,2769351000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,87 patients,VA_PN-3B
440061,VOLUNTEER COMMUNITY HOSPITAL,MARTIN,TN,38237,WEAKLEY,7315874261,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,TN_SCIP-INF-4
440185,SKYRIDGE MEDICAL CENTER,CLEVELAND,TN,37311,BRADLEY,4233394132,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,57 patients,TN_HF-4
360234,MERCY FRANCISCAN HOSPITAL - MT AIRY,CINCINNATI,OH,45239,HAMILTON,5138535000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,85 patients,OH_AMI-1
240056,RIDGEVIEW MEDICAL CENTER,WACONIA,MN,55387,CARVER,9524422191,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,170 patients,MN_SCIP-VTE-2
50113,SAN MATEO MEDICAL CENTER,SAN MATEO,CA,94403,SAN MATEO,6505732222,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,65 patients,CA_PN-3B
250123,GARDEN PARK MEDICAL CENTER,GULFPORT,MS,39501,HARRISON,6018644210,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),27 patients,MS_HF-3
381309,LAKE DISTRICT HOSPITAL,LAKEVIEW,OR,97630,LAKE,5419472114,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,0 patients,OR_SCIP-VTE-2
190017,OPELOUSAS GENERAL HEALTH SYSTEM,OPELOUSAS,LA,70570,SAINT LANDRY,3379483011,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,73 patients,LA_AMI-1
