column1,column2,column3,column4,column5,column6,column7,column8,column9,column10
82,0,67,57,2,0,2,1,0,0
99,1,13,2,4,0,0,4,2,3
22,1,16,71,1,2,0,3,4,2
25,0,74,0,1,0,4,2,4,3
33,0,98,92,0,2,4,0,3,0
84,0,41,91,4,3,4,4,0,2
27,3,22,67,1,1,0,3,0,2
89,3,56,1,0,1,0,1,4,0
27,3,16,71,3,3,0,1,0,3
26,2,43,0,2,0,4,1,2,3
46,3,42,82,0,1,2,2,1,3
50,4,85,26,0,1,1,1,4,1
30,1,22,67,0,4,3,3,1,1
4,0,16,71,0,2,4,4,0,3
98,2,49,94,3,2,2,0,0,3
76,3,56,1,0,0,2,3,3,4
74,0,69,45,0,2,4,2,3,4
41,3,58,1,0,1,0,1,3,1
42,4,85,26,0,2,0,1,3,1
5,0,18,51,1,2,4,0,3,3
37,3,2,34,0,0,2,1,1,1
34,3,42,82,4,0,2,2,3,3
25,4,0,8,2,3,2,2,2,0
18,3,39,1,2,4,2,1,2,1
76,3,0,8,0,1,1,1,0,4
7,4,44,24,2,0,1,1,0,4
35,4,27,84,0,0,0,1,3,1
31,2,72,49,0,1,0,0,1,2
44,1,19,44,2,0,0,3,3,4
27,3,18,51,1,2,2,1,3,2
53,3,43,0,1,0,0,2,4,3
96,0,16,71,0,2,0,0,1,3
90,1,3,68,0,0,3,1,1,3
64,4,34,79,0,3,0,1,2,4
34,3,57,0,1,0,2,1,1,2
33,0,29,33,1,2,4,1,3,3
86,4,0,8,0,4,1,2,2,3
42,4,81,85,3,1,1,1,2,0
9,1,87,17,0,0,3,4,3,1
33,1,55,0,1,0,0,1,4,0
27,3,10,21,0,1,0,2,0,2
57,3,47,58,2,4,1,2,2,0
20,2,55,46,1,3,2,1,3,4
33,0,41,1,0,4,1,2,4,3
68,4,26,39,4,1,1,2,4,2
60,2,91,64,0,2,2,4,3,0
4,0,75,89,0,4,4,3,4,3
31,0,70,41,1,0,4,0,2,3
96,0,97,37,0,1,4,3,3,1
53,3,55,46,0,2,2,1,3,3
5,0,34,0,1,1,4,2,2,4
76,3,0,8,0,3,2,3,4,3
91,4,26,39,0,1,2,2,1,1
64,4,34,79,0,1,0,3,4,2
26,1,11,78,0,4,3,1,2,0
28,1,20,15,3,1,1,2,3,0
96,1,29,33,4,2,0,2,4,0
43,0,10,21,0,4,4,2,2,1
83,2,87,17,1,4,2,0,2,0
45,1,18,51,0,2,1,1,3,1
66,2,6,72,4,0,0,4,4,1
12,1,0,8,0,1,3,4,2,3
76,3,10,21,0,0,0,3,4,0
12,1,87,17,0,0,3,3,0,2
77,0,32,42,1,3,2,2,4,3
13,3,19,44,4,1,0,1,1,0
72,4,28,47,2,1,0,1,4,2
66,2,4,9,4,1,2,0,0,3
61,3,67,57,1,1,2,1,1,1
25,0,63,93,4,1,0,2,3,1
89,3,9,52,2,2,2,1,4,0
36,1,99,83,0,4,3,3,2,0
9,1,0,8,0,1,0,4,0,3
47,0,65,90,1,0,1,2,2,0
95,4,23,12,4,1,0,2,0,3
89,3,60,14,3,0,2,2,1,2
41,3,59,40,2,2,2,1,1,3
40,2,35,65,1,3,2,0,0,2
33,0,44,3,4,0,0,2,2,0
42,4,56,1,0,4,0,3,4,0
82,4,98,92,0,2,0,1,0,4
29,0,55,46,1,3,0,0,1,2
78,4,83,86,2,3,0,3,4,3
88,1,0,8,1,0,0,4,0,3
42,4,0,8,0,0,1,3,3,2
72,4,6,1,2,0,1,1,4,3
64,4,31,5,2,4,0,3,2,1
1,2,72,49,4,2,3,3,1,1
73,1,46,87,0,0,3,4,2,3
44,1,56,1,2,1,3,4,3,3
2,4,75,89,0,0,2,3,0,2
37,3,39,3,0,2,0,1,0,1
68,4,32,42,0,1,0,1,2,4
96,0,62,29,2,2,4,4,3,0
41,3,97,37,0,4,0,1,0,4
59,2,72,49,0,1,2,1,2,2
5,0,89,96,2,0,1,4,4,3
64,4,13,2,3,4,0,3,4,0
65,3,72,0,0,1,0,1,2,0
