column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20
29,3,91,53,15,2,0,2,9,1,3,3,0,0,0,0,1,0,0,0
12,1,47,48,9,0,1,1,16,0,0,4,3,2,1,0,3,0,0,0
52,2,20,72,3,2,3,3,9,6,1,0,0,1,3,0,0,2,4,4
79,3,30,22,0,4,3,1,15,0,4,2,1,1,1,2,2,1,1,3
2,0,98,60,13,0,1,1,0,6,0,1,2,1,2,3,0,1,0,1
75,1,27,1,9,1,0,1,6,2,0,3,1,4,2,1,3,2,2,4
47,3,65,71,9,0,1,3,23,2,3,2,3,4,3,3,0,1,4,4
31,0,74,67,13,4,0,2,5,5,0,1,4,4,0,0,0,2,0,4
87,4,92,21,12,4,2,3,20,1,1,1,0,3,2,1,0,2,0,0
39,0,5,55,5,3,2,3,10,0,2,1,0,4,2,1,4,1,3,0
87,4,58,33,14,0,3,0,4,6,4,4,4,1,3,2,4,3,4,3
76,2,1,26,1,2,2,3,24,9,1,0,3,0,3,1,1,2,4,3
54,1,70,90,18,2,0,1,0,6,1,0,0,1,1,1,4,3,4,4
6,3,49,40,2,3,0,1,18,3,3,1,2,1,0,4,3,4,1,0
27,1,53,96,11,0,2,3,10,2,2,3,1,1,2,1,2,4,0,0
54,1,87,43,12,3,3,1,23,7,2,0,2,3,3,2,0,0,4,3
54,1,59,79,3,2,0,1,21,9,2,0,3,2,1,0,2,0,1,3
39,0,6,57,13,1,3,3,4,9,2,2,1,0,1,2,0,2,2,4
83,0,79,45,0,4,3,1,18,3,2,1,3,2,2,0,0,0,4,2
54,1,63,19,14,0,3,0,1,0,2,1,1,2,3,0,0,1,0,2
60,0,80,97,7,0,1,1,12,0,1,1,1,1,0,0,0,3,2,2
59,2,30,22,10,3,3,3,7,1,0,0,1,1,2,2,0,1,0,4
36,0,75,50,11,3,1,3,15,8,0,1,0,2,2,3,4,1,3,3
71,2,62,88,4,0,3,1,17,5,2,1,4,3,2,2,1,0,2,1
83,3,4,7,8,2,2,3,13,3,0,2,2,2,3,0,3,1,2,3
0,4,38,73,6,2,0,3,10,2,4,4,1,1,0,1,0,0,4,4
52,2,10,13,1,1,0,0,5,1,1,0,0,0,0,4,0,2,4,3
69,3,16,86,4,1,1,0,8,4,3,2,4,2,2,3,0,2,4,3
21,3,20,72,9,4,2,3,3,7,0,2,3,0,2,1,0,2,3,0
8,0,94,78,11,2,3,0,17,4,0,0,0,1,3,0,4,1,4,2
58,3,34,3,19,0,3,3,6,4,3,1,1,0,2,0,0,0,2,1
