column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30
90,3,83,77,14,4,2,1,14,1,2,2,1,1,0,1,1,2,0,0,0,2,2,0,0,0,0,2,0,0
60,3,97,70,5,2,0,1,2,2,0,3,0,1,4,0,3,0,0,3,3,1,0,0,2,3,2,1,1,3
92,0,41,23,18,3,1,3,10,0,0,2,0,0,0,0,0,2,1,0,1,4,1,3,1,1,2,1,2,0
7,4,31,30,1,3,1,0,19,5,2,2,3,3,3,2,0,0,1,1,1,4,1,2,1,3,0,0,4,2
51,2,29,88,14,1,0,2,12,7,0,2,4,0,0,0,1,0,0,1,3,1,4,0,1,0,4,4,0,4
67,3,60,3,2,1,0,2,13,3,0,0,0,5,0,3,2,2,0,0,1,1,3,0,2,4,0,1,3,3
38,3,19,56,5,1,1,1,9,5,1,0,2,1,4,1,4,2,1,3,1,4,1,0,3,3,0,3,0,3
96,3,4,92,18,3,0,0,4,6,4,2,4,0,0,0,1,4,1,0,1,1,0,2,1,3,1,3,2,4
86,3,75,45,14,4,3,0,14,0,0,0,4,2,1,1,1,3,0,0,4,1,0,2,3,4,3,4,4,0
20,0,17,75,15,0,0,1,7,6,0,0,2,0,0,0,1,0,0,0,1,1,1,3,1,4,0,2,4,2
52,1,70,0,2,1,0,0,16,2,2,2,1,1,4,2,3,0,1,3,1,0,0,4,3,3,0,4,1,4
55,4,27,63,0,1,1,0,2,2,0,2,4,0,1,0,3,0,0,4,1,4,0,2,3,1,3,3,0,1
41,2,47,52,1,1,3,0,7,1,0,1,4,5,3,3,0,1,3,2,4,0,0,1,4,4,0,4,4,1
92,1,60,3,7,1,2,0,23,4,0,1,2,0,0,1,0,4,3,0,0,2,2,4,4,3,2,3,1,3
86,3,69,83,15,1,2,2,12,7,0,0,4,2,1,4,4,1,0,1,0,3,1,0,0,3,0,3,4,1
14,0,8,76,13,1,1,1,8,9,4,0,4,1,4,1,4,0,4,0,0,0,1,3,1,3,4,4,3,3
82,3,55,4,11,0,0,2,3,3,0,3,0,1,4,1,0,4,2,0,0,2,4,0,3,2,3,2,2,1
33,0,75,45,14,4,3,0,0,7,0,2,4,1,4,1,0,1,1,1,1,0,1,3,0,3,0,1,3,4
18,0,18,84,11,4,3,2,7,4,2,2,0,5,0,1,2,1,0,0,4,0,1,3,0,1,1,0,2,4
83,4,34,93,12,1,0,2,18,4,0,2,2,2,0,2,0,1,1,2,3,0,0,0,1,4,0,3,4,0
17,0,2,14,12,2,0,3,22,4,2,2,2,4,2,4,4,1,2,4,0,1,1,3,3,4,0,2,0,0
69,0,7,34,13,3,0,3,20,6,0,0,2,0,0,1,0,3,1,0,3,0,0,3,4,4,0,2,4,3
64,4,86,87,15,2,2,2,17,9,2,3,2,0,0,0,4,1,2,3,2,3,3,0,2,4,0,1,2,2
58,1,57,37,4,1,3,2,4,9,4,1,0,2,1,1,3,2,2,2,1,1,2,4,2,4,2,1,3,0
43,1,4,92,3,3,1,0,15,1,0,1,0,4,0,1,3,3,0,0,0,4,2,0,3,4,0,2,2,2
47,2,99,15,9,0,1,1,3,3,2,2,1,1,0,1,0,0,3,4,1,4,0,0,0,4,2,2,4,4
66,1,5,64,3,2,2,2,12,7,2,0,2,5,0,1,0,1,2,1,3,2,0,0,0,4,0,2,1,4
42,1,18,84,2,3,1,3,8,3,0,3,0,1,4,2,0,1,4,3,1,4,0,4,1,4,0,0,0,0
7,4,25,17,0,1,1,1,6,2,0,2,2,2,1,4,3,0,4,2,0,0,3,4,1,2,2,2,2,1
85,1,18,84,19,3,0,2,14,1,3,0,4,0,0,1,3,0,4,0,0,1,0,4,3,2,2,3,0,4
6,2,30,41,13,3,1,2,13,3,2,3,2,5,0,1,0,0,1,2,0,4,2,1,0,4,4,3,3,2
48,4,33,4,8,3,1,2,2,7,4,1,4,5,3,4,0,1,2,4,1,4,1,2,3,4,0,3,2,1
96,3,47,52,9,3,1,0,16,2,4,0,0,3,3,0,4,2,4,0,1,4,0,2,1,4,0,4,0,3
41,2,61,12,15,3,0,0,16,1,0,3,4,2,0,4,1,2,1,3,0,1,2,0,0,0,0,1,0,2
10,1,40,53,9,1,0,2,10,5,0,3,0,0,3,1,2,0,2,0,0,2,0,4,2,4,2,1,4,0
44,0,68,29,11,3,2,2,19,8,0,0,2,0,2,0,3,2,2,2,0,3,0,0,3,1,0,2,0,1
96,3,51,5,5,1,1,1,18,5,0,0,3,1,0,1,4,2,1,1,2,4,2,2,0,4,0,3,0,2
48,4,98,59,15,1,2,1,24,8,0,0,3,1,4,3,3,3,0,4,0,2,1,2,2,4,0,3,2,3
9,0,70,38,3,0,3,3,20,6,4,0,0,1,2,1,1,0,0,4,1,1,1,3,3,2,0,3,1,2
86,3,31,30,15,1,2,3,7,9,0,0,3,1,2,3,4,1,0,1,3,3,3,0,0,4,0,3,4,1
21,4,39,18,11,4,3,3,17,3,0,3,4,2,1,4,1,1,2,3,1,0,3,2,2,4,0,0,4,3
48,4,41,2,3,1,3,1,15,1,2,0,4,1,4,2,0,3,3,0,4,1,4,0,4,0,0,3,0,4
16,2,71,89,9,1,0,3,7,9,4,0,0,1,2,1,3,0,3,4,1,1,2,1,2,4,0,4,3,2
0,3,16,99,19,3,0,0,23,4,0,1,0,4,2,4,4,1,4,0,3,1,4,0,3,1,0,0,3,2
16,2,21,1,0,3,3,3,8,3,1,2,3,3,3,0,0,4,1,0,4,2,3,0,0,0,4,3,4,0
21,4,25,17,12,0,3,2,18,4,2,1,4,0,2,1,4,1,0,1,4,0,3,0,3,4,0,3,3,4
6,1,84,0,16,4,2,3,18,7,0,2,1,3,0,0,1,1,0,3,3,3,2,0,0,3,3,3,0,0
95,0,50,8,12,2,1,2,4,9,0,0,2,0,0,0,4,1,0,4,0,2,1,1,2,4,1,2,2,3
39,0,80,73,8,4,2,1,14,1,0,0,4,2,0,1,3,2,2,3,1,2,1,3,3,3,4,1,3,1
16,2,43,65,18,3,1,3,23,3,0,2,1,3,1,0,1,4,0,3,4,4,0,0,4,4,4,1,0,2
85,1,5,64,19,1,1,3,16,9,0,2,1,0,1,1,0,0,2,0,2,0,0,4,0,4,0,1,4,3
17,4,97,2,14,1,0,2,17,9,3,0,2,4,2,0,4,2,0,0,0,1,1,2,3,3,3,3,2,0
94,2,80,0,3,2,2,1,22,2,0,2,3,3,0,1,4,2,2,1,0,2,0,3,3,1,0,2,0,4
73,0,71,89,14,0,2,3,11,2,0,2,4,0,0,0,3,1,2,0,0,3,1,3,2,3,0,1,2,1
91,0,97,0,9,3,1,2,2,7,4,2,4,3,2,0,0,0,1,2,1,0,1,1,3,4,0,4,0,4
33,0,1,57,14,1,0,2,18,4,0,1,3,1,4,2,2,1,2,0,3,4,0,3,0,4,3,3,2,4
62,2,98,59,8,3,1,0,7,3,0,0,1,3,2,0,0,4,0,2,3,4,2,1,2,0,0,4,0,0
72,2,97,70,1,4,3,3,18,7,0,0,2,0,4,1,1,0,0,0,2,0,1,3,1,3,0,1,0,3
1,2,80,73,14,4,3,3,10,4,2,3,2,5,0,4,2,1,2,3,3,0,2,1,3,2,3,2,4,4
64,4,27,63,16,2,2,3,4,8,2,2,3,3,2,2,0,2,0,0,0,2,3,2,2,2,0,0,4,0
16,3,53,21,12,2,1,2,3,3,0,0,0,5,3,1,0,0,1,2,1,4,4,0,0,4,2,2,0,3
85,1,10,68,7,3,0,2,16,0,0,2,4,0,3,0,3,2,2,4,3,1,0,4,2,3,1,0,4,0
15,1,70,38,5,3,2,0,12,0,0,0,2,0,0,0,1,2,0,2,0,2,2,0,1,4,4,1,2,3
38,3,5,64,12,3,2,0,5,5,0,3,2,4,4,0,2,0,2,1,2,2,3,2,2,0,0,2,4,0
76,0,48,85,16,3,0,2,24,3,3,2,4,1,4,1,1,4,4,2,1,0,1,3,0,0,3,2,4,0
40,4,82,36,14,0,2,0,17,7,0,3,4,2,1,1,1,0,2,3,2,3,3,2,0,2,0,3,1,4
85,3,66,0,5,2,0,3,2,9,1,0,3,5,1,4,4,1,0,2,3,0,0,0,4,3,0,1,4,1
14,0,2,14,1,3,1,2,14,1,0,0,4,2,1,2,0,2,1,2,0,0,1,4,2,4,0,2,4,3
65,2,20,0,18,3,1,3,17,5,0,0,4,2,0,4,0,1,2,2,1,4,2,0,0,3,3,2,0,2
52,1,54,40,15,3,0,1,10,7,0,2,4,0,1,0,1,1,2,1,3,0,0,0,0,1,1,0,3,0
48,4,64,72,17,1,1,0,12,0,0,2,2,2,0,1,3,2,0,2,4,4,3,0,1,4,0,2,0,3
3,3,90,26,8,1,3,2,16,0,2,0,2,5,3,3,3,2,0,0,4,1,2,2,0,0,0,4,2,4
41,2,49,22,5,1,1,0,5,5,0,0,0,5,3,3,2,0,0,4,1,4,0,1,3,0,1,2,0,4
83,4,64,72,14,2,1,3,4,8,0,2,2,2,1,3,0,1,4,2,1,0,3,0,2,3,2,2,0,2
12,4,67,10,4,1,3,0,19,5,0,0,1,3,3,2,2,2,4,0,4,0,0,2,2,3,2,0,1,3
32,1,47,52,14,3,2,0,3,0,2,3,2,5,3,3,1,2,1,2,0,3,0,4,0,3,0,3,4,2
30,3,85,6,5,2,0,0,18,9,2,1,2,3,3,1,3,0,1,3,0,0,3,2,0,0,3,1,4,1
4,0,8,76,12,2,1,2,15,6,0,0,4,2,1,3,0,4,2,1,4,4,0,1,4,3,4,3,4,0
41,2,42,11,8,4,1,2,2,7,0,3,4,2,0,3,1,0,0,3,0,0,0,1,3,3,1,1,0,3
31,4,97,70,12,4,0,2,19,2,0,2,4,0,0,1,4,1,0,3,3,0,0,0,1,3,1,0,2,3
90,3,49,22,16,4,0,2,4,9,2,3,3,4,2,0,0,3,4,4,3,1,4,2,2,4,0,2,0,0
36,4,39,18,4,1,3,3,2,9,0,0,0,5,0,3,4,2,0,0,3,1,0,0,3,4,2,1,0,0
21,4,84,82,7,4,3,3,20,6,4,0,3,5,3,3,2,0,0,4,4,1,3,2,0,0,1,4,1,1
93,4,60,3,16,3,0,2,20,0,2,3,0,0,0,0,1,1,3,0,3,1,3,0,2,3,0,3,4,0
51,2,80,73,7,1,2,0,5,2,4,2,3,4,2,4,3,0,0,1,2,3,2,3,0,2,0,0,1,0
21,4,34,93,15,3,0,0,12,4,0,2,4,0,0,0,1,1,1,2,3,1,3,0,0,3,2,1,4,2
40,4,34,93,5,2,0,1,11,3,4,0,3,5,3,3,0,4,2,2,1,1,3,0,0,4,4,4,0,1
58,1,7,34,9,3,1,3,4,8,0,0,1,3,2,2,0,3,4,1,0,0,2,4,2,1,0,2,3,3
20,2,39,0,17,1,1,0,19,5,0,3,4,2,0,4,3,2,0,2,1,4,2,0,0,4,2,1,0,3
8,4,28,42,4,3,2,0,12,0,2,0,1,1,4,2,1,2,1,1,0,2,3,0,2,0,0,0,4,0
94,2,67,10,18,2,3,3,2,9,0,2,0,2,1,4,4,2,3,1,4,1,0,3,2,3,3,1,2,3
60,3,1,4,11,4,3,1,14,1,3,0,2,3,3,2,1,4,2,3,4,3,0,2,3,2,1,3,1,0
26,2,83,77,4,3,2,3,17,5,0,3,4,2,1,3,2,0,0,4,3,2,4,3,0,4,0,1,4,1
45,3,66,43,12,1,0,3,11,1,3,1,2,4,3,4,1,2,4,0,0,1,1,2,0,0,0,3,0,0
38,3,96,35,4,3,2,0,4,6,3,0,4,2,1,1,2,4,1,1,1,2,4,0,0,1,3,1,0,2
39,0,55,4,12,3,2,2,3,3,4,2,4,3,3,0,0,1,1,0,3,3,0,3,3,4,0,1,0,1
9,0,72,55,1,1,3,1,23,6,3,1,2,4,2,4,0,0,0,2,4,0,0,3,2,2,0,1,3,3
1,0,30,1,5,3,2,0,17,7,3,2,4,1,4,2,1,0,4,1,0,2,1,1,0,2,3,4,2,0
