column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40
59,0,27,2,0,4,0,3,5,4,0,0,3,3,1,2,2,0,2,2,0,4,1,2,4,1,1,0,0,3,3,4,0,0,4,3,0,4,3,4
80,3,15,84,8,3,1,3,0,1,4,1,3,5,2,3,4,4,4,1,0,3,2,0,2,0,0,2,1,1,3,2,0,4,3,2,4,0,1,4
64,0,24,12,12,3,2,3,22,7,2,2,2,5,4,1,1,3,4,4,0,4,2,1,0,0,0,1,0,2,0,1,1,0,4,3,3,0,1,0
7,1,30,43,8,2,1,3,2,7,3,1,4,0,1,2,0,1,1,0,0,2,4,0,1,0,3,4,1,1,1,0,2,4,3,4,0,4,3,1
0,0,6,73,12,3,2,3,1,2,3,1,4,0,4,1,2,2,3,4,3,2,4,1,4,2,1,1,0,0,0,3,4,3,2,3,4,4,1,0
19,2,75,76,12,0,3,1,7,8,4,2,4,1,4,1,3,2,4,3,2,2,3,2,0,2,4,0,0,4,2,1,2,4,0,0,4,4,1,3
19,2,7,56,7,0,3,1,2,4,1,1,0,0,2,3,4,0,3,1,2,3,1,1,4,3,4,0,0,4,1,2,2,4,3,2,4,4,1,0
41,3,64,1,8,0,3,1,12,5,4,2,4,1,1,2,2,0,2,1,2,0,3,1,2,1,0,1,4,1,1,2,4,1,0,3,0,2,1,4
34,0,36,89,4,0,3,3,10,0,2,1,0,0,2,3,2,3,0,0,3,3,1,1,2,4,0,1,2,0,2,1,4,2,4,3,0,0,1,2
83,4,37,1,2,0,1,0,18,3,3,0,4,2,1,2,2,3,0,0,4,1,4,4,1,4,2,0,0,0,0,1,1,2,0,0,4,3,4,3
1,4,84,92,12,0,3,3,24,4,4,1,3,5,3,4,1,4,2,0,0,3,2,1,1,4,0,1,4,2,1,0,3,4,3,3,2,0,0,0
19,2,71,83,6,3,0,1,0,7,2,0,3,4,0,0,4,2,1,0,0,2,3,1,0,2,4,1,1,1,2,1,0,3,3,4,3,2,3,3
40,0,35,71,19,3,0,3,9,9,4,2,3,3,2,3,1,1,1,4,4,4,1,0,3,0,0,2,1,3,3,1,3,3,4,0,0,3,1,1
34,0,42,0,16,4,3,0,2,3,3,2,0,2,1,2,4,1,0,0,3,1,0,4,1,2,0,0,2,3,2,3,1,2,1,2,3,0,4,2
14,1,86,39,12,1,0,0,24,9,0,1,0,5,0,0,2,0,2,3,4,0,2,0,0,4,2,1,4,2,0,1,3,2,1,1,0,0,4,2
12,4,5,13,2,3,1,0,3,6,3,1,0,4,2,3,4,4,4,1,0,2,0,0,4,0,0,2,3,0,0,0,3,1,1,3,0,4,1,0
55,4,91,1,0,2,3,3,24,4,1,0,2,1,2,0,1,2,3,3,2,1,3,1,2,0,1,3,3,1,1,1,0,4,0,1,1,2,3,1
81,2,36,89,17,3,3,3,10,6,3,1,3,0,1,2,2,0,2,1,2,2,2,4,1,3,0,1,0,1,0,0,4,2,3,2,0,4,1,4
91,0,12,49,7,0,3,1,15,2,4,1,4,4,3,4,4,1,0,2,2,0,1,2,3,2,0,1,2,1,4,2,1,4,3,0,1,2,3,1
76,2,92,6,12,0,3,3,4,8,4,0,4,2,0,0,1,2,3,1,0,1,0,1,0,3,4,3,0,2,1,0,1,1,0,4,2,1,1,2
12,4,61,30,4,3,2,1,23,8,3,1,4,0,4,1,0,0,3,0,4,3,4,1,4,4,2,1,3,0,2,2,4,4,1,0,2,2,1,3
81,2,14,54,0,4,0,0,4,2,4,2,0,2,3,4,2,0,2,3,1,0,2,3,2,1,0,1,1,1,4,2,4,2,0,2,3,2,1,0
86,2,61,1,19,4,2,3,20,8,2,3,2,1,4,1,1,4,2,4,3,4,1,1,4,2,0,1,1,1,2,1,2,2,3,0,1,3,1,0
50,3,58,51,12,3,2,0,12,0,2,2,1,1,1,2,0,1,1,2,4,2,3,4,1,0,0,3,1,0,2,2,0,4,3,3,0,0,3,3
8,2,37,1,4,0,3,0,19,4,0,1,3,1,3,4,2,0,2,0,2,1,3,1,1,2,0,1,4,0,0,2,2,2,1,1,1,0,4,0
39,4,27,96,4,4,2,1,22,0,3,1,4,0,0,0,1,0,0,0,4,3,1,3,2,0,0,1,3,0,1,1,3,1,4,3,2,3,1,2
25,0,33,22,5,3,1,0,3,6,3,3,0,0,1,2,1,2,3,1,1,3,4,2,1,0,0,3,0,2,0,4,0,0,1,1,1,4,3,0
51,1,55,81,1,4,2,2,3,6,3,1,3,1,1,2,2,4,4,0,3,2,3,2,4,4,3,2,0,0,1,4,1,1,1,1,2,2,1,3
65,1,28,29,1,4,2,1,10,6,3,2,4,1,0,0,1,2,3,4,3,1,0,0,1,4,2,1,0,3,1,3,4,4,0,3,1,2,3,0
92,1,34,17,1,4,2,3,22,7,3,1,4,0,1,0,0,1,2,1,0,3,4,0,0,4,4,1,4,0,3,0,1,2,0,4,3,0,3,2
55,4,29,99,4,4,2,3,0,1,0,0,1,0,0,0,1,4,2,4,3,3,4,0,1,2,1,1,1,0,4,2,0,4,2,0,0,0,2,4
9,3,18,1,17,3,3,1,4,1,3,1,2,3,1,2,3,2,4,4,1,4,1,4,4,1,1,2,1,1,0,0,2,3,0,1,1,3,4,3
69,2,87,5,19,1,3,2,3,6,3,1,4,0,4,1,4,1,0,2,0,2,2,1,4,3,4,0,0,2,2,4,4,2,3,0,3,4,2,1
74,1,18,0,12,3,2,3,15,1,4,3,3,5,2,3,2,4,4,4,1,3,2,0,3,0,3,0,0,3,0,4,2,1,2,1,0,4,1,0
16,1,68,32,5,1,1,1,24,5,3,1,2,3,1,2,1,4,2,2,0,4,1,1,1,4,3,0,0,4,4,1,4,1,3,0,3,0,1,2
0,3,32,65,0,1,2,0,3,6,2,1,2,0,1,2,2,1,1,0,1,2,3,3,4,1,0,0,1,2,1,4,0,4,0,4,4,3,4,0
43,1,96,77,6,3,0,2,8,8,3,1,3,2,4,1,1,4,2,0,0,0,1,2,4,1,4,1,1,2,0,4,4,2,3,0,4,2,4,0
90,3,3,24,8,1,1,3,3,0,1,2,2,1,2,3,4,4,4,2,1,2,0,2,1,1,3,2,1,4,3,3,4,3,3,0,0,3,1,1
98,0,38,2,5,2,0,3,18,0,0,1,0,5,4,1,1,2,3,0,1,3,1,2,0,0,1,1,3,2,0,2,0,4,2,1,4,0,1,4
98,1,36,89,4,3,2,0,11,8,3,1,4,0,0,0,1,2,2,0,0,2,4,3,0,0,3,1,4,2,2,1,2,2,2,0,4,1,3,0
13,2,66,23,0,2,1,3,0,1,1,1,3,3,4,1,4,1,0,2,1,3,1,2,4,3,1,0,2,2,4,4,0,0,1,4,3,1,3,0
26,2,58,51,8,4,1,3,19,2,3,3,1,4,0,0,0,2,2,2,2,0,1,1,0,2,3,0,1,0,2,4,3,4,0,1,4,0,1,0
