column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44,column45,column46,column47,column48,column49,column50
70,3,89,81,16,4,1,3,23,8,3,3,4,4,1,0,4,2,4,0,4,4,4,4,0,3,3,4,1,3,4,0,2,2,1,0,1,4,1,2,0,0,0,3,3,0,4,1,4,2
51,3,41,21,2,3,1,0,10,0,0,1,0,4,0,2,1,4,3,4,0,4,4,4,4,1,0,4,1,3,0,1,1,1,4,1,0,2,0,0,4,3,2,3,3,2,4,3,3,2
69,0,85,28,9,0,1,0,4,4,0,3,3,0,1,0,1,1,0,0,4,4,1,3,1,0,4,2,2,0,4,1,0,2,1,3,2,0,0,1,0,4,4,0,4,0,1,0,1,2
34,3,18,20,8,1,3,1,19,2,4,0,2,3,3,3,4,2,1,2,1,4,2,0,1,0,1,0,2,0,0,0,1,3,0,0,2,3,0,0,2,4,4,4,2,2,4,3,2,0
18,3,84,2,3,3,3,2,12,0,1,3,3,4,2,1,2,4,3,4,2,4,4,4,3,2,3,1,2,0,0,1,1,1,3,1,4,2,2,2,0,1,2,3,1,3,3,4,4,2
92,3,67,0,8,4,3,3,3,3,3,0,4,1,1,0,1,1,0,0,4,4,2,0,0,3,0,0,2,2,0,0,0,2,2,1,2,1,0,0,3,0,3,1,4,2,4,0,1,0
48,1,31,85,15,4,0,1,2,2,0,1,2,5,2,1,3,0,3,3,3,4,1,3,1,2,4,2,0,2,1,1,2,1,4,2,4,1,0,1,3,2,4,4,2,2,2,0,0,4
93,4,78,0,11,1,3,3,4,7,4,1,0,4,2,1,3,0,3,3,3,4,2,0,1,3,1,0,0,4,4,0,0,1,0,0,0,0,4,1,0,3,4,3,4,1,4,2,3,0
43,0,42,0,17,1,0,1,9,9,0,0,3,2,3,3,0,1,3,1,0,1,2,1,4,1,1,1,1,1,0,0,1,2,1,1,0,3,0,4,4,0,3,0,3,1,4,0,1,4
38,1,72,91,16,0,1,1,12,2,4,3,4,5,1,0,2,2,0,4,2,0,4,2,3,1,4,1,1,3,1,1,1,2,0,0,2,1,3,1,4,2,2,3,2,2,3,1,3,4
70,3,97,40,2,1,0,1,16,8,3,3,3,5,2,1,4,3,2,4,2,2,4,2,3,3,0,3,3,1,3,0,3,2,2,3,4,2,0,1,4,2,4,3,2,2,2,2,2,2
92,3,92,49,2,4,2,3,6,5,2,3,1,0,4,4,2,3,2,4,3,2,2,4,4,1,2,4,0,4,0,4,4,4,2,2,0,0,1,2,4,3,3,0,3,2,1,2,2,1
50,1,31,85,2,4,2,3,6,5,4,3,4,5,4,4,2,4,3,3,3,4,2,2,2,4,0,1,0,4,3,1,0,1,1,1,0,0,3,1,1,2,1,3,4,4,4,1,1,1
15,4,48,26,1,0,3,1,1,8,4,2,0,3,4,4,4,1,2,3,3,1,2,1,0,1,1,0,0,0,2,0,4,1,1,3,0,4,2,1,3,1,0,0,2,3,2,2,2,1
9,0,12,0,10,0,0,3,10,1,0,0,3,2,1,0,4,1,0,3,3,0,4,2,4,2,4,1,0,1,2,0,3,2,3,4,4,1,2,0,4,2,4,0,2,2,2,0,1,2
19,1,4,76,5,3,3,1,11,2,0,3,4,5,2,4,1,2,1,3,3,2,1,3,1,0,3,2,2,0,1,0,0,4,0,0,0,1,3,1,0,1,4,3,0,2,0,1,2,2
58,1,31,0,9,1,2,3,9,3,0,0,4,5,1,0,3,2,0,4,2,4,0,2,1,0,0,0,3,0,1,1,1,2,2,2,2,0,3,2,1,1,1,4,3,4,4,4,1,4
