column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44,column45,column46,column47,column48,column49,column50,column51,column52,column53,column54,column55,column56,column57,column58,column59,column60,column61,column62,column63,column64,column65,column66,column67,column68,column69,column70
6,0,19,25,10,0,3,2,6,6,4,2,1,5,4,1,1,2,3,0,2,3,1,4,3,4,3,4,1,3,2,3,4,0,0,3,0,0,1,2,1,4,2,1,0,0,1,3,0,4,0,3,4,1,3,2,0,2,2,3,2,1,1,4,0,4,4,1,0,3
24,3,53,57,2,3,0,1,1,5,4,0,0,3,3,3,1,3,2,3,3,3,3,1,4,3,4,3,3,4,3,3,4,0,2,0,1,4,0,3,4,2,0,3,4,0,2,3,0,4,1,1,4,0,4,4,0,1,4,2,3,4,2,3,0,4,1,3,1,0
44,1,40,85,14,1,0,1,24,6,4,3,1,5,3,3,3,1,2,1,0,0,4,2,2,0,3,1,3,3,2,1,1,1,0,0,1,2,3,4,0,0,3,3,1,3,3,0,0,0,0,3,1,0,4,0,0,1,2,4,3,0,0,1,0,4,4,1,3,4
17,2,70,5,2,3,0,2,24,2,0,0,4,1,2,2,2,3,1,0,2,4,4,1,3,4,2,3,0,3,2,3,2,2,2,1,1,2,2,0,3,2,1,1,2,2,2,0,1,1,1,0,2,1,0,0,0,3,3,0,1,1,4,1,1,4,4,1,1,2
99,4,30,68,18,1,3,0,5,8,2,1,0,4,0,1,0,3,3,4,1,4,0,3,2,0,1,4,3,3,3,2,2,0,3,1,3,0,3,4,4,1,1,4,1,4,2,0,4,4,4,1,1,0,4,3,0,1,1,1,1,2,3,1,0,0,2,1,0,0
67,4,82,22,12,1,2,0,1,4,0,3,4,4,3,3,2,3,4,3,3,2,4,4,3,4,1,2,0,0,0,1,2,0,2,0,1,1,1,0,3,3,3,4,0,3,1,4,0,0,2,2,4,3,2,4,1,4,2,1,0,2,4,4,1,0,4,3,1,2
93,3,33,43,13,0,3,0,7,6,0,3,0,0,1,4,1,1,0,2,4,2,1,1,4,0,4,4,2,3,2,2,2,0,0,1,2,3,4,4,1,4,0,3,4,1,2,4,0,0,1,0,0,1,0,1,4,0,2,0,2,2,4,4,0,2,3,0,4,0
33,2,59,13,2,0,1,2,8,8,3,1,1,5,0,0,3,3,1,3,3,3,3,1,1,2,1,3,2,0,0,3,1,4,0,1,0,1,2,0,0,1,0,0,2,0,2,0,0,4,1,0,0,1,3,1,0,4,1,1,2,0,0,2,2,4,2,1,4,4
97,3,56,29,15,3,0,1,5,2,2,3,0,3,0,0,1,1,0,3,0,2,3,3,2,0,1,1,4,1,4,3,2,2,4,3,2,0,1,4,4,0,0,3,4,1,0,0,0,2,2,0,2,1,1,0,2,1,3,0,3,1,0,0,2,1,2,1,4,1
98,1,23,15,10,0,3,2,5,2,2,3,4,0,2,2,2,2,2,3,3,1,2,3,2,0,3,1,3,4,3,1,3,2,4,3,0,3,3,1,1,1,0,0,1,0,2,1,4,2,1,4,0,1,4,0,1,1,0,1,3,3,4,4,0,4,2,2,1,2
70,3,5,61,3,1,1,3,11,2,1,1,1,3,4,1,3,0,4,4,1,3,2,3,2,0,2,3,4,1,0,4,2,2,3,2,4,4,0,4,2,0,2,0,0,3,2,0,2,3,1,2,1,0,1,2,4,2,0,1,0,3,0,3,1,0,2,0,0,0
92,4,69,27,4,1,3,2,5,2,4,3,3,1,1,4,2,3,4,4,1,4,3,4,3,1,1,1,4,1,4,3,1,2,2,2,2,3,1,1,0,4,0,2,0,4,1,0,2,3,2,3,0,3,1,0,4,1,0,0,1,4,1,3,1,3,0,4,0,4
27,4,96,1,15,0,3,3,22,8,2,0,2,3,4,1,4,2,1,3,3,4,4,1,3,4,1,4,3,0,0,2,0,2,0,1,0,3,3,1,0,4,1,3,1,1,2,1,0,1,2,0,0,1,4,3,1,4,1,1,2,4,1,2,3,3,1,3,2,0
91,1,35,3,16,2,3,1,2,6,0,2,0,2,4,1,3,0,4,1,0,0,0,0,3,4,2,4,2,1,4,1,2,0,0,2,0,4,4,2,0,4,1,0,1,3,2,4,3,3,2,3,1,4,0,1,0,0,2,1,0,4,4,4,2,0,4,3,1,1
46,4,21,26,2,3,0,1,16,1,4,2,0,3,4,1,3,2,2,3,3,2,3,3,1,2,1,4,3,4,3,0,0,2,2,0,1,0,1,2,4,4,1,0,0,4,4,4,4,1,0,4,1,4,0,3,1,4,0,2,2,2,1,0,0,4,0,3,2,3
17,0,97,97,10,0,3,0,2,7,3,0,2,2,4,1,0,3,3,3,0,2,0,0,1,3,3,1,3,4,3,4,0,4,3,1,3,0,0,1,1,1,1,0,2,3,3,1,1,1,3,4,0,0,0,0,2,1,1,2,3,3,0,2,3,3,4,3,0,4
24,3,20,39,9,2,0,0,19,9,4,3,1,5,4,1,4,3,0,0,2,3,0,0,4,3,4,1,2,4,3,3,2,2,1,0,1,2,0,1,4,0,1,1,4,1,1,0,0,2,4,4,0,2,0,2,0,3,3,3,1,2,2,0,0,0,1,4,0,2
80,0,79,44,15,1,1,2,10,0,0,3,3,1,3,3,1,1,0,0,2,0,4,2,3,4,2,4,2,2,1,3,0,3,3,1,1,3,1,1,2,2,0,3,0,3,3,3,1,2,3,1,3,3,0,2,0,2,2,3,2,0,3,4,1,0,4,1,1,4
66,3,81,35,3,1,0,0,1,4,2,3,3,4,4,1,1,3,2,0,2,4,1,0,2,0,2,2,3,0,2,4,4,3,1,4,0,1,3,2,4,4,0,1,1,1,3,1,4,4,1,1,2,0,1,0,0,3,1,1,0,1,2,3,2,3,4,3,2,1
7,2,32,0,14,3,1,2,11,4,0,0,4,1,1,4,0,4,4,0,2,4,4,1,3,1,3,4,1,0,0,3,1,4,1,0,1,4,4,3,0,0,0,2,0,0,3,1,0,1,1,1,2,0,4,2,3,2,2,0,3,1,3,4,0,3,2,2,1,3
30,3,13,89,9,1,3,0,22,8,2,0,1,4,3,3,0,2,1,0,0,2,1,1,3,4,3,3,4,3,2,3,0,3,1,0,2,0,1,1,0,0,0,4,4,1,0,1,1,1,2,1,4,1,1,4,2,1,2,3,1,3,0,4,1,2,4,3,1,1
98,1,14,75,3,2,1,0,6,1,4,1,0,1,3,3,3,3,1,0,2,1,0,2,3,4,3,0,0,4,3,1,1,1,3,1,0,2,4,0,0,3,0,4,4,0,4,0,0,1,0,1,2,0,0,4,0,2,4,1,0,1,1,2,1,3,2,3,0,1
2,3,64,1,2,4,3,2,16,5,0,3,3,1,4,1,0,1,2,4,1,2,3,3,2,0,3,1,3,3,2,1,1,1,2,3,0,1,3,4,0,0,2,2,4,2,1,3,4,2,1,1,0,0,4,0,4,3,1,2,2,2,4,4,3,0,4,1,0,2
28,3,32,90,9,1,3,2,5,2,3,1,0,3,3,3,2,2,2,0,2,2,3,3,1,2,4,1,4,2,1,3,3,1,4,3,2,4,1,0,4,1,0,1,4,1,2,0,4,2,0,1,4,4,1,0,3,2,3,0,1,3,1,0,0,3,4,3,0,4
43,4,22,79,5,4,3,1,9,8,0,3,1,5,4,1,2,3,4,0,2,2,1,1,3,4,4,2,1,0,0,1,2,0,1,3,0,0,1,0,0,1,1,2,1,4,2,0,4,3,2,2,1,4,3,2,3,1,0,4,0,2,4,1,2,3,3,1,1,0
