column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44,column45,column46,column47,column48,column49,column50,column51,column52,column53,column54,column55,column56,column57,column58,column59,column60,column61,column62,column63,column64,column65,column66,column67,column68,column69,column70,column71,column72,column73,column74,column75,column76,column77,column78,column79,column80
3,1,49,28,0,0,3,0,18,7,0,1,4,2,0,0,2,4,1,0,4,4,2,3,3,0,3,3,0,2,4,3,2,1,4,4,3,0,3,1,0,2,0,0,0,0,0,0,0,1,1,2,1,0,3,1,2,1,1,2,1,0,3,2,0,2,0,0,0,1,1,3,2,0,3,1,4,1,3,3
22,0,81,74,3,0,1,3,14,8,3,0,3,0,2,1,0,2,1,2,0,1,2,4,4,1,4,0,4,1,0,1,0,0,1,3,3,2,4,3,1,3,0,2,0,2,1,3,2,0,4,4,0,0,2,2,1,2,2,0,0,2,3,0,0,0,0,4,0,1,0,3,0,4,3,3,4,0,1,1
49,4,52,68,13,0,0,2,16,8,2,3,1,0,2,1,3,0,1,0,4,1,1,1,1,3,1,2,0,0,1,3,1,0,2,2,4,2,2,1,1,0,3,3,2,4,2,0,2,3,1,2,0,1,4,0,0,3,2,2,1,0,2,2,1,1,0,4,0,0,4,2,3,2,1,2,4,1,0,4
58,3,39,43,13,1,3,2,13,9,3,0,0,4,2,1,2,4,0,0,4,1,3,2,4,1,4,3,2,0,1,1,4,2,4,4,4,0,0,1,1,2,0,0,0,3,0,2,1,3,4,1,1,2,3,2,4,0,3,1,0,0,0,1,2,1,4,0,1,4,4,2,3,4,4,3,3,1,2,0
17,4,5,36,10,0,1,2,8,7,1,0,2,2,1,2,4,4,1,2,0,4,1,0,4,1,4,0,4,3,3,1,2,3,3,1,3,2,4,4,4,1,0,4,3,1,3,2,2,0,1,3,3,0,4,1,0,0,2,0,4,1,2,1,3,2,1,2,2,2,2,0,3,2,2,4,1,2,1,4
7,2,97,44,19,4,2,2,18,2,1,2,1,1,2,1,4,3,3,0,4,1,4,0,3,2,4,2,3,0,1,2,1,2,4,4,1,0,0,1,0,0,2,1,1,0,2,0,0,2,0,0,1,0,0,2,4,0,2,1,0,0,0,4,4,0,4,0,1,0,3,0,1,2,3,4,1,2,4,1
75,0,85,38,6,0,0,0,13,9,1,3,2,5,4,3,2,0,2,4,3,1,1,1,2,0,1,2,0,4,2,0,1,4,4,4,1,0,0,0,0,0,0,3,0,2,4,3,1,1,4,0,0,0,3,2,0,2,0,2,4,1,2,3,2,4,4,3,1,0,0,0,3,2,3,4,3,2,4,0
90,0,89,2,3,0,1,0,8,0,1,2,1,1,2,1,1,0,2,2,0,1,4,0,1,3,1,1,2,3,3,0,2,2,3,1,4,1,1,4,4,1,0,4,3,1,2,2,2,4,3,3,3,2,2,0,0,2,0,0,4,0,0,3,4,0,4,0,3,2,4,2,3,4,3,1,2,3,0,4
21,0,0,10,15,0,2,0,2,7,0,1,2,0,0,0,4,1,0,2,0,4,3,1,0,4,1,3,1,0,1,0,4,0,1,3,3,2,4,2,1,2,1,0,1,2,1,0,3,2,0,2,4,4,0,4,1,2,1,1,3,0,1,0,2,1,2,2,2,2,4,2,0,2,3,4,1,1,0,1
64,4,12,5,7,0,1,0,12,4,3,0,1,2,4,3,2,2,4,2,1,3,0,0,4,1,4,0,4,4,2,0,1,4,2,2,3,4,0,2,2,0,3,0,0,1,0,0,2,3,4,4,0,0,2,2,4,0,0,0,4,1,2,0,2,4,4,1,1,2,1,1,3,1,2,3,1,0,0,3
38,1,44,35,9,1,1,2,20,0,2,3,1,1,2,1,0,2,1,4,3,1,1,1,1,3,3,0,2,0,1,1,4,2,3,1,0,1,2,0,1,1,2,0,2,1,3,2,0,4,0,0,3,4,1,0,0,0,0,0,4,2,0,1,3,0,4,4,4,0,4,0,3,3,1,0,3,0,0,3
0,3,91,63,17,2,1,1,18,9,2,1,1,4,2,0,0,1,0,3,1,1,4,0,3,2,3,2,1,0,1,2,1,2,2,1,0,2,1,0,2,3,0,0,1,1,0,3,1,2,0,0,3,4,3,2,0,0,1,0,4,0,4,1,3,1,0,0,1,1,1,1,0,2,4,2,1,0,2,3
74,4,16,83,3,2,3,1,5,2,3,3,4,0,0,0,1,1,1,3,1,3,3,0,4,1,1,1,2,1,1,3,1,0,3,1,3,0,3,2,0,2,2,4,1,4,3,4,3,2,1,4,3,0,3,1,3,4,3,2,1,0,3,1,0,0,2,1,0,0,4,2,3,4,2,0,2,4,1,1
25,0,13,85,7,4,1,2,21,8,3,2,4,3,1,2,2,1,3,2,0,4,0,1,4,1,2,0,4,0,2,3,1,0,2,2,4,1,1,3,2,3,1,3,3,1,1,4,3,3,0,4,4,2,2,0,1,0,2,4,0,0,0,0,4,0,0,4,0,0,2,2,0,2,3,1,4,0,4,1
91,2,53,84,3,1,0,1,2,8,1,0,0,1,4,3,4,2,2,2,0,1,1,1,2,0,3,1,1,3,0,4,1,3,1,3,3,1,2,3,0,1,3,3,4,1,2,0,0,3,2,4,2,4,2,4,2,0,1,2,1,0,2,3,4,3,3,0,0,4,4,2,1,3,4,2,3,4,3,1
27,2,66,94,11,1,3,0,11,0,3,3,0,1,2,1,3,4,2,4,3,1,1,1,4,1,0,1,0,1,0,4,3,1,3,1,3,0,3,3,1,0,4,0,1,0,0,2,0,3,0,0,3,4,0,0,0,2,0,1,0,0,0,3,2,2,0,4,4,0,4,2,0,2,4,1,3,0,3,4
46,0,63,25,3,4,1,0,22,3,2,2,0,1,2,1,4,1,1,3,1,2,4,4,4,1,0,0,1,0,1,1,1,1,1,3,2,1,1,2,2,1,1,2,0,2,1,2,2,3,1,2,2,0,2,0,1,0,0,4,4,0,0,0,1,2,1,1,3,1,3,3,2,4,1,1,4,3,0,0
29,3,26,80,9,3,3,0,1,8,2,2,4,3,3,4,2,0,2,0,4,0,0,4,3,2,1,4,4,4,2,3,0,3,2,2,1,0,0,0,0,1,3,2,1,2,0,0,3,0,0,2,0,0,4,2,3,3,3,2,0,3,0,3,1,4,0,0,4,1,0,0,2,2,2,1,1,1,3,3
