column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20
329,0,5,109,19,1,5,4,1,5,0,0,2,2,3,0,0,4,1,3
2,1,79,140,18,0,4,3,1,5,0,0,0,0,3,2,4,1,3,1
195,1,153,0,4,9,5,3,6,5,5,3,0,2,0,1,3,0,4,3
227,4,120,113,10,9,0,4,1,5,0,4,0,0,2,2,4,2,4,0
90,0,44,43,13,0,2,4,7,1,2,1,2,1,1,1,3,0,1,4
70,5,131,25,2,9,2,2,7,4,3,0,3,1,1,0,2,1,0,1
303,1,130,104,15,8,5,4,2,4,6,0,0,4,2,3,0,4,0,3
320,2,15,53,12,6,1,2,1,5,1,0,3,3,0,1,4,4,4,3
392,0,37,63,11,4,4,2,4,4,2,0,3,4,2,0,0,3,2,4
233,6,14,110,8,6,1,3,6,5,5,4,0,3,0,4,3,2,1,3
252,1,105,39,11,4,4,5,4,2,0,3,1,0,0,2,4,0,1,3
397,0,62,62,19,6,2,4,3,3,1,0,2,0,0,4,1,1,0,3
168,6,3,163,2,4,1,3,5,4,0,4,0,2,0,0,0,4,2,4
258,5,96,36,8,6,1,4,2,1,2,4,2,3,0,0,2,2,2,3
305,2,67,119,5,1,1,1,5,1,2,0,0,2,0,1,0,4,1,3
52,4,197,101,10,9,0,0,1,5,3,3,1,0,1,0,2,4,1,3
391,4,47,156,17,1,1,3,6,5,5,4,0,1,2,1,3,3,1,0
295,0,188,1,2,2,0,4,6,1,3,0,2,2,3,0,1,0,1,1
122,3,131,25,1,5,1,3,3,1,4,0,0,2,2,3,0,2,2,0
179,0,62,62,1,7,2,2,6,3,1,0,2,0,0,4,1,2,0,1
58,5,129,175,4,6,0,2,5,5,4,0,2,0,1,3,1,1,4,0
255,0,111,127,10,1,0,2,7,5,6,1,3,2,1,2,0,1,2,3
394,1,170,174,0,8,4,0,1,3,6,3,4,4,2,3,1,0,0,3
354,1,7,187,8,6,1,5,1,3,6,3,4,2,0,4,1,0,0,2
60,6,27,0,16,1,0,1,3,4,0,4,2,1,1,2,4,0,0,2
312,1,158,2,10,4,1,2,1,1,0,0,0,3,2,2,0,3,3,0
165,5,179,57,14,9,4,2,7,4,3,1,2,0,4,0,3,2,2,3
305,2,82,180,10,6,0,4,3,0,0,1,4,0,0,0,3,1,1,3
