column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30
19,4,213,0,8,11,3,2,7,8,0,0,4,5,4,1,0,0,2,5,0,8,5,8,0,4,6,5,6,6
3,0,111,9,4,10,7,20,1,2,2,1,3,6,7,6,0,9,0,8,5,7,0,1,3,9,2,3,5,9
0,1,9,0,5,14,2,2,5,1,1,1,1,5,0,2,9,0,0,3,3,4,0,9,7,5,1,2,8,8
91,4,208,2,4,8,2,1,3,9,3,4,1,3,0,1,2,0,0,3,7,8,0,1,0,8,0,9,7,0
32,1,155,0,11,1,7,11,3,2,3,5,2,0,0,6,1,0,1,2,9,4,0,1,3,8,0,8,6,0
203,1,101,8,4,13,4,5,2,4,3,0,0,3,6,9,0,1,6,3,9,1,0,2,6,7,8,6,7,7
8,5,50,6,0,11,5,10,6,1,5,1,3,0,2,8,8,1,2,2,4,0,0,9,9,7,2,8,5,6
197,8,156,5,10,0,7,21,2,0,2,2,3,3,7,2,0,1,6,1,0,2,0,0,9,9,7,2,7,6
181,9,170,8,4,7,7,2,5,2,2,3,3,3,7,3,0,5,6,3,1,9,0,0,6,5,7,4,3,6
45,0,203,1,3,7,0,3,7,5,1,3,2,7,0,1,8,2,0,0,4,7,2,1,5,7,5,4,4,1
120,0,164,8,5,0,9,0,0,5,0,5,0,2,2,2,5,5,2,3,3,7,2,2,6,0,4,7,6,9
207,0,12,3,7,11,8,19,2,9,5,2,2,9,2,7,9,3,2,6,2,7,0,4,8,5,8,8,5,5
68,1,58,3,10,14,5,10,8,9,0,2,4,5,1,8,4,3,9,0,9,4,5,0,2,2,2,8,5,5
75,1,47,5,5,16,7,10,7,6,1,3,0,3,7,0,0,0,0,1,9,0,2,6,1,2,7,4,0,0
212,6,57,1,8,8,8,1,6,2,0,1,5,1,2,0,8,1,0,7,3,0,5,0,0,4,5,4,6,9
154,3,78,4,2,17,0,15,4,4,5,4,4,3,0,0,7,6,0,3,0,0,6,1,2,5,8,4,8,6
101,9,168,1,5,1,0,18,0,8,5,2,0,8,0,1,0,1,0,0,0,0,2,0,3,4,7,2,0,0
77,7,120,7,11,0,3,7,4,7,2,5,0,5,0,1,0,4,9,6,0,3,0,5,7,3,4,4,0,7
57,8,176,9,7,17,4,18,6,2,2,0,3,3,1,1,3,9,6,3,2,2,0,1,0,4,4,2,4,2
199,3,34,8,10,7,5,11,1,5,2,3,3,3,0,8,0,0,0,1,0,6,2,6,2,4,9,8,8,6
81,6,118,7,7,14,3,17,1,4,3,3,3,2,0,0,6,4,2,0,3,5,6,2,8,9,7,5,5,6
8,5,2,6,5,3,9,0,7,4,1,5,3,0,5,0,1,1,2,2,4,3,1,2,6,1,2,9,5,4
92,1,111,9,5,17,1,14,3,8,3,2,4,7,0,1,3,9,1,1,0,4,5,0,5,7,7,4,4,6
94,9,33,9,3,13,4,10,0,7,1,0,1,4,1,0,0,9,5,0,1,1,0,5,4,8,0,6,1,7
19,4,26,1,4,17,8,5,3,7,0,4,4,3,1,7,3,3,0,3,7,0,1,5,3,9,8,3,0,2
3,0,85,5,8,1,0,12,2,8,4,1,0,4,0,4,2,2,0,4,0,7,5,8,8,4,4,8,6,1
200,7,81,8,11,7,1,21,4,6,5,3,3,8,0,1,1,0,3,1,1,3,4,1,6,5,8,8,3,9
87,3,70,8,7,11,0,21,1,4,5,5,3,3,0,5,0,0,4,3,0,2,6,3,7,5,8,7,6,7
146,0,113,3,11,5,3,19,0,7,0,2,1,0,4,1,0,1,0,2,0,7,0,4,6,4,6,7,9,2
127,3,40,1,0,16,2,11,4,6,5,5,2,4,8,2,6,1,5,4,0,6,4,6,6,9,9,2,5,6
40,7,24,0,5,7,4,17,7,0,1,2,4,5,6,0,9,2,0,1,1,3,1,7,6,3,4,9,4,5
63,4,41,4,10,2,8,23,6,4,0,1,1,3,2,0,0,0,6,1,7,8,6,3,6,8,4,4,7,6
39,5,86,1,11,10,2,16,7,2,1,1,1,0,5,2,0,2,0,2,0,0,0,0,8,9,9,3,0,5
171,5,105,6,10,10,1,1,3,9,1,5,2,3,0,1,0,8,0,3,0,0,0,1,9,2,8,4,2,9
178,2,73,9,2,3,6,7,0,2,0,5,4,3,9,4,0,0,6,3,6,0,1,0,4,6,8,3,5,9
181,9,66,7,8,10,9,11,6,8,0,5,3,1,1,2,6,4,8,4,8,1,2,0,3,9,7,9,8,6
163,5,133,6,3,11,2,12,6,5,5,5,0,7,5,3,1,1,2,0,0,0,2,1,3,6,8,3,5,0
18,1,74,1,6,17,0,19,6,4,1,3,4,2,0,0,0,2,2,0,9,4,1,2,8,5,3,8,6,8
127,3,172,1,0,0,5,19,0,7,2,2,5,4,1,8,8,1,5,4,2,2,0,5,4,0,6,5,8,5
203,1,166,5,11,12,8,10,6,0,5,3,1,3,2,2,2,7,0,3,9,0,8,0,8,3,4,6,8,6
146,0,193,8,4,6,0,1,7,4,4,3,1,3,4,0,2,0,6,3,6,7,2,3,9,2,0,7,2,7
148,4,99,2,4,8,2,19,3,8,1,5,2,3,0,2,0,8,6,1,7,0,5,8,8,5,7,8,7,2
