column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20
51,4,60,44,17,0,1,0,2,1,0,0,1,0,3,4,0,1,2,1
7,3,4,98,15,0,3,0,0,1,4,2,0,3,2,3,3,1,0,2
85,2,89,0,3,2,3,2,1,1,3,2,0,3,0,1,1,4,1,2
30,1,13,4,12,4,2,2,1,1,1,4,4,3,2,0,0,0,3,1
68,2,96,11,1,1,3,3,0,3,3,0,3,4,0,3,0,0,0,4
34,0,31,16,18,2,1,1,1,3,0,0,0,3,1,4,2,1,4,1
16,4,27,56,4,1,2,2,0,3,5,1,1,0,0,4,2,0,0,2
64,0,73,35,14,0,2,3,3,1,2,1,2,3,0,1,4,0,3,4
85,2,66,84,7,3,2,0,0,1,4,0,0,0,1,0,3,4,1,0
66,1,83,85,0,4,0,0,2,1,0,3,0,2,0,4,1,0,1,3
59,2,55,72,5,2,0,2,3,0,0,4,4,0,3,1,1,0,1,1
23,0,73,35,15,0,3,0,3,3,3,2,0,3,1,3,0,1,4,4
24,1,76,0,11,3,3,1,0,3,5,0,0,3,3,0,2,3,1,0
50,0,71,75,17,1,0,4,0,3,4,3,4,4,0,3,0,0,3,3
46,0,33,90,10,1,3,4,1,3,2,2,0,1,4,0,4,1,4,0
14,0,53,1,18,1,3,2,1,1,3,2,0,1,2,3,0,0,4,2
75,4,45,62,7,3,0,3,0,4,1,3,0,1,2,2,1,0,0,0
32,2,74,18,16,3,0,3,2,3,0,3,4,1,2,2,0,0,0,3
36,3,29,28,17,3,0,1,3,3,3,4,0,1,3,0,0,0,3,1
59,2,73,35,18,0,1,0,2,2,4,1,0,3,1,3,2,4,1,3
60,1,92,6,3,0,3,4,0,0,2,2,3,4,1,1,0,3,2,4
13,0,57,46,3,2,0,2,2,2,4,4,0,3,1,3,3,1,4,0
10,1,95,1,11,4,1,4,2,0,0,1,0,2,1,4,1,2,0,4
53,2,67,4,11,1,2,1,1,0,2,1,1,3,2,0,0,4,0,2
29,2,38,36,2,4,2,0,2,1,5,4,1,3,0,0,0,0,0,4
81,3,42,30,11,0,3,2,3,1,2,0,0,2,0,2,4,0,0,4
