column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20
92,4,68,99,5,4,0,1,1,0,0,3,1,0,2,0,4,0,0,2
83,6,97,12,2,3,0,0,1,1,5,0,4,3,2,4,0,0,3,4
18,3,63,21,18,0,2,3,1,2,4,3,0,3,0,0,1,0,4,2
66,5,34,0,6,3,1,2,1,3,5,4,3,4,0,1,1,3,3,4
94,6,90,2,15,0,2,3,1,4,1,0,4,3,2,4,1,0,0,4
95,1,8,7,10,3,3,4,1,1,1,3,1,4,0,4,3,0,0,4
78,4,43,76,19,1,3,4,3,0,2,1,0,1,1,4,3,2,0,4
93,3,82,82,18,1,0,2,1,0,0,0,0,2,3,0,0,2,1,2
75,4,9,37,6,1,3,0,0,1,1,4,1,2,1,1,0,0,2,4
70,2,11,71,1,3,0,2,2,0,3,0,1,2,4,4,4,1,2,4
25,1,90,2,18,3,1,4,3,2,5,3,4,4,2,1,1,0,0,3
97,2,23,60,7,3,1,0,0,0,3,3,0,2,0,0,1,2,3,4
19,5,38,29,6,0,1,0,2,4,1,3,3,1,0,1,1,0,0,4
17,1,38,29,8,3,3,3,2,4,2,0,3,1,2,3,1,0,0,2
82,2,85,72,1,1,2,2,3,2,2,1,0,2,4,0,0,0,3,3
63,1,85,72,2,3,0,3,3,0,0,1,0,1,0,0,1,2,0,0
96,0,84,35,5,4,0,0,0,0,3,4,4,1,0,4,2,1,2,3
93,0,22,54,15,3,3,4,0,1,0,1,2,3,1,3,0,0,0,4
23,3,4,45,14,1,3,0,1,3,2,0,1,1,1,3,3,2,3,4
77,1,3,81,17,4,3,0,1,1,5,2,1,1,0,4,3,4,3,4
79,5,68,99,1,3,1,2,0,1,1,0,1,1,3,0,1,0,1,3
5,4,85,72,0,1,0,1,3,3,1,3,0,1,1,4,4,0,0,1
81,2,90,2,3,1,1,0,1,4,4,4,3,1,0,2,1,3,4,4
12,3,58,33,5,3,2,0,2,1,1,1,3,1,3,3,0,0,4,2
4,2,93,92,7,2,0,0,0,4,0,1,1,2,4,0,4,1,1,4
9,4,17,25,18,2,3,3,1,2,4,4,0,0,1,2,2,3,0,2
6,3,95,43,0,3,1,2,3,4,1,4,2,2,0,1,1,1,4,0
18,3,55,42,7,1,3,0,0,0,3,2,3,2,0,2,3,1,0,0
17,1,80,64,10,4,3,2,3,1,4,0,4,4,2,2,3,3,4,2
5,4,3,0,15,1,2,2,0,3,5,3,2,0,0,0,1,0,3,1
42,5,7,59,18,4,3,0,3,1,1,0,2,1,3,1,1,1,0,3
64,0,20,97,15,1,0,3,3,2,3,0,1,0,0,0,4,4,2,3
63,1,83,85,5,1,3,0,0,4,4,1,4,1,2,4,0,3,3,0
42,5,11,71,6,4,3,1,0,4,3,3,0,0,0,2,1,0,2,4
15,6,7,59,1,1,2,1,2,0,5,1,2,3,0,3,0,4,0,3
68,2,9,37,2,4,3,1,1,0,5,3,0,3,4,4,1,4,3,4
26,5,85,72,8,0,3,2,1,1,0,1,1,4,1,2,1,2,0,1
35,6,1,5,3,4,2,0,1,0,0,2,3,3,2,3,1,1,1,4
41,3,82,82,18,2,2,3,1,0,5,0,2,1,3,3,1,0,3,2
26,5,25,70,11,4,0,0,2,0,3,4,1,0,3,4,0,4,2,4
95,1,38,29,2,3,0,2,1,4,0,3,3,4,2,3,4,3,1,4
75,4,8,7,17,2,1,2,2,3,1,3,2,0,0,1,1,4,3,2
30,4,59,89,14,1,3,3,1,4,1,2,1,1,1,3,3,1,0,0
75,4,39,93,6,0,1,0,1,1,5,3,1,0,1,1,1,3,0,4
99,6,91,1,19,3,1,0,0,2,2,1,0,3,0,0,4,0,3,4
4,2,77,1,8,1,0,1,3,3,1,1,2,4,4,4,0,0,2,4
52,5,79,0,19,1,0,0,1,1,5,0,2,4,0,4,0,4,3,3
60,4,67,50,11,1,3,0,1,0,0,1,0,0,1,3,0,2,1,1
82,2,97,12,4,3,0,1,1,3,3,0,4,1,4,4,4,4,4,4
51,6,1,5,6,2,2,1,3,0,0,0,0,0,0,4,0,2,1,1
51,6,52,17,7,2,0,4,2,2,4,1,2,0,1,0,2,3,4,4
62,1,81,48,11,1,3,3,2,3,1,3,0,1,0,1,0,1,2,4
0,4,16,44,10,3,3,2,2,1,4,3,1,0,4,2,3,1,4,1
22,4,26,1,19,0,0,4,1,4,0,1,0,1,4,0,3,1,0,4
87,0,76,56,9,3,2,0,1,3,2,0,3,2,0,0,0,2,0,1
26,5,40,6,7,4,2,4,3,2,0,4,1,4,3,4,1,1,0,4
27,6,77,1,11,4,0,1,3,2,5,4,1,0,0,0,4,4,0,3
44,0,17,5,6,3,1,3,0,1,1,2,1,3,4,0,1,3,0,3
71,0,75,0,8,4,2,4,2,0,5,0,2,0,0,0,2,4,3,0
15,6,93,92,4,2,3,0,1,1,5,0,0,0,2,0,3,4,3,2
46,2,45,83,18,1,0,2,1,0,1,0,1,4,2,0,0,1,1,0
77,1,81,48,1,2,3,0,0,4,4,0,0,4,0,1,1,3,3,2
93,3,48,98,18,1,3,1,2,1,2,0,3,0,0,2,3,3,0,1
52,5,96,49,6,1,3,0,3,0,4,3,2,0,3,1,1,1,4,4
87,3,10,22,19,4,3,1,2,2,1,4,3,2,3,2,3,0,4,3
70,0,22,54,7,0,0,4,0,2,3,0,0,2,0,4,2,4,4,3
67,0,43,76,1,1,2,3,1,4,1,0,1,3,3,3,1,0,2,1
94,6,37,18,16,0,2,3,1,2,4,1,3,3,2,0,1,3,1,0
49,4,40,6,14,2,3,2,0,3,5,4,1,2,4,3,1,3,3,0
99,6,44,38,3,1,1,0,1,3,2,1,3,3,0,0,1,0,3,4
