column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44,column45,column46,column47,column48,column49,column50,column51,column52,column53,column54,column55,column56,column57,column58,column59,column60
74,4,66,95,12,4,1,2,4,7,4,0,3,4,4,4,0,4,4,4,4,0,4,3,2,1,0,0,4,3,3,2,0,0,4,0,0,2,0,4,0,3,4,2,1,0,1,0,0,0,0,0,2,1,3,4,0,4,1,3
9,2,74,15,15,2,3,0,4,5,1,1,1,0,3,0,2,4,0,4,4,2,0,1,0,1,3,4,0,3,0,0,0,4,2,0,2,0,3,2,2,1,0,2,1,0,3,2,0,0,3,2,1,3,3,0,4,1,1,4
88,4,83,55,4,0,3,1,24,6,0,0,4,0,0,0,0,0,2,1,1,1,0,2,4,2,2,1,4,2,2,2,1,2,2,4,0,0,1,0,0,4,3,3,0,0,2,3,0,4,0,4,0,1,2,4,1,4,0,1
12,1,96,1,18,1,1,1,14,2,2,3,1,5,0,3,2,4,3,4,3,4,4,3,2,3,1,0,4,1,0,0,3,4,0,3,3,1,3,4,0,2,1,1,1,3,1,1,1,1,0,2,0,1,3,3,2,0,3,4
56,0,80,79,3,1,3,1,16,5,4,0,4,2,3,0,1,2,3,1,1,3,0,0,3,0,2,4,0,3,0,3,1,2,2,1,2,4,2,3,0,0,0,1,3,0,3,3,1,1,3,4,4,0,3,0,0,4,1,1
84,3,54,40,17,1,0,3,6,2,2,2,1,4,1,2,0,0,2,2,3,1,2,3,2,3,1,4,1,3,3,0,1,4,1,2,2,1,0,2,4,0,0,1,1,4,2,0,3,2,0,2,2,1,1,4,4,4,4,2
76,1,7,75,0,4,2,3,21,9,4,0,1,4,4,4,1,0,2,2,3,1,4,1,4,2,1,4,1,3,0,3,4,2,0,4,4,0,0,1,0,2,0,0,1,0,2,2,3,2,1,0,2,1,1,0,2,1,0,1
14,1,14,93,11,0,1,0,5,0,3,0,2,3,1,0,3,3,2,4,3,4,4,3,2,1,4,4,4,0,1,0,0,1,1,1,2,1,4,1,4,1,0,0,1,3,4,1,1,1,0,2,0,1,2,3,4,4,2,3
2,1,15,10,19,2,1,1,13,5,2,0,2,5,3,3,1,4,1,2,3,4,3,4,3,0,1,2,0,3,4,2,0,1,1,3,0,4,2,0,0,3,0,1,0,1,3,4,4,4,3,4,1,0,0,0,3,2,1,4
72,0,14,93,0,4,2,2,9,3,2,3,4,4,4,4,4,3,4,4,3,1,1,0,4,2,4,4,4,3,0,1,4,0,0,4,0,0,2,0,1,2,4,4,1,3,0,0,0,1,3,3,4,3,1,0,0,2,3,1
