column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20
1,1,2,1,2,1,2,0,1,2,20,6,2,2,3,23,1,3,2,0
1,1,0,0,2,3,1,0,1,2,8,2,2,2,3,23,2,2,2,0
2,1,4,2,2,0,2,0,1,2,11,18,2,2,1,21,1,1,0,0
4,2,4,2,2,1,2,2,3,2,0,0,0,0,4,4,3,1,2,0
2,1,0,0,0,0,2,0,3,0,7,17,1,0,4,4,0,0,1,0
2,1,0,0,1,0,2,0,1,2,11,18,2,0,4,4,3,1,2,0
0,1,4,2,4,0,0,2,1,2,12,4,0,0,0,0,2,2,2,0
0,1,0,0,2,2,3,0,1,2,20,18,2,1,3,13,3,4,0,0
0,1,0,0,1,2,2,4,1,2,19,5,1,2,1,21,1,3,0,0
1,1,0,0,4,0,0,0,1,2,4,13,1,0,3,3,2,2,1,1
0,1,4,2,2,2,3,0,2,0,5,10,2,2,1,21,2,2,0,0
2,1,0,0,3,0,1,1,0,1,9,12,0,2,2,22,0,0,1,0
1,1,0,0,2,1,2,2,1,2,3,12,0,1,2,12,0,0,1,0
2,1,0,0,2,0,2,2,2,2,3,16,0,2,2,22,1,1,2,0
4,2,0,0,2,2,3,0,1,2,0,12,0,2,0,20,1,1,2,2
1,1,4,2,2,0,2,0,1,2,9,20,0,1,4,14,4,4,1,1
0,1,4,2,2,0,2,2,2,2,16,1,1,0,2,2,1,1,1,0
0,1,4,2,2,0,2,1,1,0,8,10,2,0,1,1,2,1,2,0
0,1,0,0,3,0,1,4,1,2,20,6,2,1,1,11,0,4,2,0
0,1,0,0,1,1,2,0,1,2,16,17,1,1,4,14,0,0,0,0
0,1,2,1,2,1,2,0,2,0,10,1,1,0,3,3,0,1,1,0
2,1,2,1,1,0,2,0,2,0,1,1,1,1,0,10,0,0,0,0
0,1,0,0,2,3,1,0,2,0,17,18,2,1,2,12,1,0,2,0
0,1,0,0,2,3,1,2,1,2,5,18,2,2,4,24,0,0,1,0
