column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20
8,6,6,6,2,2,3,2,2,0,2,3,3,0,0,2,0,3,0,4
2,6,13,1,3,0,1,0,1,1,0,0,0,0,0,3,0,2,1,2
8,6,8,0,3,3,1,2,0,1,1,0,0,2,3,1,4,3,1,2
17,0,3,5,1,3,2,0,2,0,3,1,2,3,0,3,0,0,3,0
20,6,14,11,1,1,1,1,0,1,2,4,0,3,1,2,0,3,1,4
39,1,5,10,4,3,1,1,0,1,2,1,2,1,4,2,4,1,1,4
8,6,7,8,1,2,2,1,1,0,3,3,0,1,1,1,3,0,1,3
38,4,11,2,3,0,0,2,2,1,2,2,4,3,0,2,0,3,1,0
34,3,8,1,3,2,0,0,0,1,0,1,4,4,0,4,0,3,4,4
17,0,2,4,1,3,2,2,1,0,2,0,0,3,1,2,0,1,1,0
45,5,4,2,1,3,2,0,0,0,1,4,0,0,2,1,4,1,0,4
27,6,5,10,0,2,0,0,0,1,0,0,4,1,1,4,1,3,0,4
33,4,1,14,3,2,0,2,0,1,1,3,2,4,2,0,0,3,0,4
38,4,1,14,3,2,0,0,2,0,3,2,0,0,4,3,0,2,1,2
27,6,10,9,3,3,1,0,2,0,3,0,0,2,2,3,3,3,1,0
37,5,13,0,3,4,3,2,2,1,2,3,1,0,0,1,0,2,0,2
12,0,11,7,2,3,2,0,1,1,3,4,0,0,0,0,3,0,3,2
39,1,5,10,3,3,1,1,1,1,0,4,0,0,4,3,0,1,2,2
16,1,1,14,2,0,0,1,0,1,2,2,3,4,4,1,2,2,0,2
7,4,8,2,0,3,1,2,0,1,1,0,0,4,2,1,0,2,0,3
36,3,11,0,0,1,3,2,0,0,3,3,3,2,0,1,0,4,2,3
34,0,11,7,2,2,3,1,1,1,0,3,4,1,1,3,2,0,3,4
14,1,13,1,1,3,2,1,1,1,0,3,0,2,4,4,0,2,2,3
27,6,5,10,0,0,2,0,2,0,3,2,2,1,3,1,0,3,2,4
8,6,13,1,1,4,3,0,1,0,0,1,3,4,4,2,0,3,1,2
13,3,6,6,2,2,3,1,0,0,1,3,3,1,0,0,1,4,2,4
15,3,6,6,3,2,0,0,1,1,3,2,4,3,0,1,0,4,4,0
48,6,6,6,1,4,3,0,0,1,0,3,4,0,0,4,2,3,1,2
17,0,14,11,1,0,3,0,2,0,3,3,4,3,0,3,2,0,1,0
15,3,5,10,3,0,0,0,0,0,1,4,4,0,3,0,0,0,0,4
16,1,6,6,3,2,0,0,1,0,2,2,4,0,0,2,3,1,2,4
15,3,5,10,1,4,3,2,0,0,3,2,4,0,1,1,3,0,1,2
3,4,10,9,2,3,2,2,0,1,1,0,2,2,0,0,3,3,0,4
43,2,14,11,2,3,2,2,2,1,2,1,2,1,0,0,2,2,1,4
7,4,4,2,2,1,1,2,1,1,0,0,1,4,2,3,2,3,1,2
4,1,10,9,0,2,1,2,1,1,0,0,3,2,2,4,2,1,2,0
8,6,8,0,1,1,1,2,1,0,2,0,0,2,3,2,2,1,1,4
21,2,12,3,0,2,0,2,1,1,0,2,4,2,1,0,0,2,1,3
17,0,14,11,1,0,3,1,2,0,2,2,3,3,1,2,0,3,1,0
34,3,11,7,0,0,2,0,0,1,0,1,0,0,3,4,0,0,2,2
42,4,10,9,4,0,2,2,2,0,3,4,2,0,0,0,3,3,1,1
9,1,0,13,0,0,2,2,1,1,0,3,0,0,0,0,0,1,2,4
17,0,11,7,0,0,2,1,0,1,2,3,0,1,0,2,0,0,3,1
35,1,5,10,2,4,1,2,1,0,2,0,2,1,3,4,2,3,1,1
21,2,3,1,2,0,0,0,0,0,1,2,3,0,4,0,4,1,2,4
27,6,0,13,2,3,0,2,2,1,1,2,2,1,1,2,4,3,2,1
