column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20
55,1,46,64,12,3,2,2,1,0,3,4,0,1,1,4,0,1,1,3
4,8,26,2,7,4,0,3,3,0,2,0,4,2,0,4,3,1,2,4
41,4,29,5,11,1,0,0,2,2,5,2,0,1,1,4,3,1,1,1
90,9,94,72,8,3,0,4,2,1,1,3,2,4,1,1,1,4,0,2
91,1,84,86,16,0,3,3,1,0,0,2,3,2,4,1,4,0,4,0
82,3,26,2,0,4,2,3,0,1,3,0,0,3,0,4,3,4,1,0
2,1,49,80,12,3,0,0,1,3,2,2,4,3,2,1,0,0,4,4
91,2,19,0,9,0,0,2,2,3,1,3,0,2,0,0,0,4,2,3
1,0,93,90,8,2,3,2,2,4,5,3,3,2,4,0,4,2,3,1
78,2,19,67,5,0,3,0,2,4,1,4,0,0,0,4,2,4,0,1
64,0,62,1,1,1,0,3,3,4,0,0,3,1,0,1,3,2,4,1
20,6,73,24,6,4,0,2,2,1,1,3,0,1,0,1,3,0,3,2
55,4,12,51,2,0,3,4,2,0,2,2,4,1,4,1,1,1,1,1
80,4,93,90,2,2,0,1,2,0,0,2,0,3,0,0,0,1,1,3
15,3,10,58,1,2,3,3,3,1,4,1,1,2,4,0,1,3,0,1
98,4,33,0,13,4,0,3,3,3,4,1,1,1,1,0,1,1,0,3
12,3,74,32,18,4,3,4,1,1,2,2,1,2,4,3,0,0,1,0
71,2,52,43,11,4,3,2,2,4,5,2,0,2,4,3,2,4,1,0
62,0,92,0,15,4,3,0,3,0,4,2,4,0,0,0,1,2,1,3
78,0,90,65,11,0,0,0,3,0,4,0,3,1,2,1,0,3,1,1
43,9,92,15,2,0,3,2,2,1,1,0,2,2,0,0,0,4,2,1
20,6,19,0,18,3,1,1,0,1,3,4,2,1,4,1,0,3,3,1
47,7,67,20,12,0,1,0,1,2,4,1,0,0,1,2,4,2,0,1
94,0,97,33,5,3,0,3,3,4,5,2,3,3,1,4,0,0,1,2
53,2,65,42,17,3,0,0,2,1,1,4,0,4,1,2,1,0,1,2
29,5,69,26,14,0,2,1,3,0,2,0,0,0,2,1,0,0,0,4
92,6,46,64,19,3,1,0,3,4,1,3,0,4,4,3,4,0,3,0
14,0,42,21,8,2,3,0,3,1,0,2,0,2,4,0,1,2,3,3
11,2,89,77,14,0,2,3,3,2,3,0,0,3,1,4,4,4,2,2
33,4,57,46,3,1,3,2,3,1,0,0,3,1,4,0,0,1,0,1
25,3,15,0,9,0,0,2,0,3,3,4,0,1,1,0,1,1,4,1
85,0,35,0,13,0,3,0,0,2,3,4,2,2,2,0,0,2,1,0
82,3,82,47,3,1,1,3,2,0,0,0,0,4,4,0,1,0,2,3
38,6,15,10,1,1,2,3,3,2,3,4,2,0,3,1,4,0,3,0
5,3,19,67,1,2,3,2,3,0,4,1,3,1,0,1,2,3,1,2
74,7,59,45,2,0,3,2,2,4,3,0,2,4,4,2,2,3,0,1
41,5,59,0,15,2,0,4,2,0,2,2,0,2,4,3,3,0,0,1
33,4,27,3,4,2,3,1,3,4,1,3,2,2,0,0,2,1,0,4
22,1,57,0,3,4,3,0,1,2,4,1,1,2,4,4,0,0,4,1
4,8,97,33,7,0,3,0,3,1,0,2,3,1,0,4,0,1,4,3
48,7,12,0,15,2,0,2,0,0,0,2,3,1,1,1,1,4,4,0
86,5,8,50,1,3,0,1,0,2,3,0,0,3,1,3,4,4,0,1
20,0,27,3,14,0,2,0,2,4,1,0,2,0,3,2,2,2,1,0
34,3,68,0,18,4,3,4,3,3,1,0,0,1,4,0,1,3,0,0
31,0,71,66,17,3,0,2,2,2,2,2,4,3,1,2,3,2,1,0
