column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30
180,2,109,4,1,3,1,9,3,1,4,0,0,3,1,0,3,2,4,0,0,1,0,0,3,4,4,4,0,4
79,3,125,4,2,1,0,9,9,5,4,3,1,3,0,0,3,2,4,2,1,1,2,0,3,0,0,1,3,2
64,2,202,4,3,1,1,8,2,1,2,4,5,0,1,4,2,1,2,4,1,0,0,2,1,4,1,2,3,1
31,3,48,0,1,0,0,1,0,0,2,4,2,2,3,0,4,3,1,1,1,1,4,0,0,4,2,0,2,0
174,2,195,4,0,3,0,0,9,8,2,2,4,4,0,4,0,4,1,2,0,3,1,1,1,4,1,2,3,1
74,4,109,4,2,2,2,8,2,1,4,0,2,1,3,1,2,1,0,0,0,2,0,2,2,0,3,0,4,3
142,4,38,2,0,1,2,9,7,9,1,4,1,4,4,0,0,4,2,4,4,0,3,0,2,2,1,1,2,2
111,3,110,3,0,0,1,7,6,5,0,5,1,0,1,4,0,2,0,2,0,0,0,2,0,4,0,0,2,0
213,1,30,4,2,3,2,0,6,7,4,0,0,3,1,4,3,2,2,0,4,1,0,2,0,2,0,2,2,2
213,1,164,3,0,2,3,6,9,4,3,2,2,1,2,4,1,1,4,3,2,0,3,3,1,3,1,0,2,4
113,4,73,0,1,0,0,1,2,6,2,4,1,3,2,1,0,2,0,0,0,0,2,1,1,0,3,1,2,2
166,3,195,4,0,1,2,0,7,0,0,3,4,3,0,4,0,0,1,3,2,0,3,2,3,1,0,3,0,2
136,2,190,1,1,1,3,8,9,7,0,5,0,2,1,1,1,3,2,3,1,4,0,3,4,1,0,1,2,1
49,0,19,4,2,3,2,9,4,0,3,4,2,4,0,0,0,0,2,1,0,2,3,0,0,3,1,3,1,3
126,4,91,4,0,3,0,0,0,3,4,0,1,0,0,4,2,1,1,3,0,2,4,1,2,1,1,0,4,2
45,2,181,3,0,3,0,2,9,6,2,4,1,3,2,2,3,0,1,1,2,1,2,0,0,3,0,2,1,1
33,1,199,3,1,2,2,0,8,5,1,4,1,4,1,2,4,4,4,0,1,3,3,2,2,2,4,4,3,2
