column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20
3,5,85,22,16,2,3,3,2,4,4,2,1,4,0,0,2,2,2,2
8,4,22,23,1,2,0,1,1,3,1,2,1,1,1,0,0,0,3,1
4,4,24,17,17,0,3,1,2,4,5,1,3,1,0,0,0,0,0,1
10,5,68,31,2,2,3,0,2,3,4,3,0,4,3,0,2,0,0,1
36,2,51,0,7,1,3,0,0,2,0,0,3,4,1,3,2,1,4,2
24,1,94,61,6,4,0,2,1,4,5,0,1,3,3,4,0,0,0,3
19,3,72,72,7,4,0,4,2,2,2,4,3,2,1,4,0,1,0,3
15,0,88,60,3,3,2,4,3,3,2,4,3,0,1,1,3,4,2,4
59,1,0,84,7,3,1,2,2,0,3,0,1,3,0,2,0,0,4,4
79,2,32,92,5,4,3,3,3,1,3,0,1,4,4,3,2,0,1,3
11,1,67,11,4,3,1,4,0,3,3,1,2,3,3,2,4,1,4,2
69,2,60,10,11,0,3,1,2,0,0,0,3,1,0,3,1,3,0,0
1,6,41,0,15,2,3,0,1,2,1,0,4,1,0,3,1,1,4,1
14,5,59,78,5,0,2,0,1,4,0,0,3,4,0,1,0,0,4,1
51,3,48,96,2,4,2,1,2,0,4,0,2,2,2,2,2,0,1,3
49,2,47,54,13,4,0,2,1,4,0,0,2,4,0,1,0,3,0,0
95,1,79,75,9,0,1,2,3,1,5,4,0,0,0,2,0,2,4,0
55,0,34,45,14,0,2,0,1,4,0,2,3,2,1,1,0,1,4,1
95,4,63,34,1,4,3,2,3,4,2,4,3,0,1,3,0,0,0,0
2,3,73,32,8,4,1,0,0,4,2,4,0,0,1,3,4,2,1,3
73,2,37,39,12,2,3,1,2,3,3,0,2,4,1,0,2,0,2,2
0,2,52,2,10,4,2,0,2,4,0,2,0,4,4,2,3,1,0,3
35,3,59,78,4,0,0,1,1,2,3,1,2,2,1,0,2,1,2,0
53,4,77,18,1,0,2,2,0,3,0,2,2,0,0,1,0,0,4,3
64,0,82,83,9,0,3,2,1,3,1,0,4,4,0,3,1,0,1,2
38,4,93,71,8,2,1,4,3,3,2,4,3,0,1,0,4,3,1,4
2,3,29,1,18,2,0,2,1,2,3,0,2,0,1,4,2,4,2,0
90,1,22,23,1,3,2,2,1,2,3,0,1,4,3,4,3,1,0,3
7,3,36,7,15,1,2,4,2,4,3,0,1,2,2,1,3,4,3,2
43,4,76,81,17,0,3,2,3,2,1,1,0,1,1,0,0,2,1,3
98,1,14,16,8,3,2,4,3,0,0,2,2,0,1,1,2,1,1,4
9,0,4,59,18,3,0,1,1,1,4,3,0,1,1,4,1,2,1,3
52,6,83,27,16,2,3,0,1,4,0,1,4,2,3,3,2,2,0,3
64,0,40,1,10,0,3,2,3,3,3,0,4,0,1,0,0,0,4,1
67,1,89,26,9,4,1,1,0,3,1,2,2,3,3,2,4,3,0,2
54,5,7,79,13,3,3,1,0,4,1,2,4,1,0,3,0,0,3,1
86,6,7,0,6,1,0,2,1,2,3,1,1,3,4,0,0,1,3,0
85,5,7,79,4,4,1,3,0,4,3,1,1,4,3,2,0,3,0,0
18,1,62,56,17,3,0,2,2,0,3,1,2,3,0,4,0,1,4,1
84,3,60,10,5,4,3,3,1,4,2,4,3,2,0,0,2,0,3,3
40,0,17,44,12,3,2,4,3,4,0,2,2,0,0,1,3,0,0,1
54,5,33,15,11,4,1,3,3,3,5,0,0,4,4,1,0,3,3,4
5,0,88,60,2,4,0,0,1,1,2,2,3,1,1,0,0,4,0,1
24,1,13,64,16,1,0,1,1,4,5,3,4,3,3,3,0,0,4,4
78,2,36,7,18,0,0,2,0,2,2,4,3,4,4,0,1,1,0,4
2,3,67,11,10,0,3,4,0,0,0,0,2,2,1,3,2,1,4,0
89,4,47,54,12,3,2,4,1,4,4,3,0,0,0,1,3,3,1,1
97,0,80,1,5,2,3,1,0,2,0,0,3,1,0,0,1,3,4,3
1,6,3,80,14,2,3,3,3,1,3,1,1,1,4,3,0,2,0,4
74,1,45,4,16,2,3,2,0,4,1,2,0,3,3,0,2,4,1,1
5,1,59,78,1,0,2,1,3,2,2,4,3,0,1,1,3,0,3,4
50,1,21,21,12,2,3,0,2,4,3,0,1,1,0,3,2,0,2,1
81,5,53,1,8,0,0,3,1,3,3,0,1,3,0,0,1,4,0,0
13,2,30,0,17,3,0,4,1,3,3,1,2,4,2,4,0,0,4,1
74,0,64,35,4,2,3,2,1,4,3,1,2,2,0,3,2,0,3,3
8,4,3,80,3,2,1,2,0,4,1,2,4,1,0,2,0,4,3,0
95,4,74,3,4,2,3,3,0,4,3,0,1,1,1,0,2,0,0,4
28,6,9,33,10,1,0,2,2,4,4,0,1,0,0,0,3,0,0,4
20,6,45,4,1,2,3,4,1,3,3,1,1,1,0,0,2,3,0,0
7,0,54,43,4,4,1,1,3,3,1,1,4,4,0,4,0,0,2,3
24,1,74,13,7,3,1,1,2,4,5,4,1,3,0,1,0,3,4,0
81,5,25,6,1,4,3,2,1,4,5,3,3,3,4,0,2,2,0,0
97,1,82,83,7,2,2,4,3,4,3,0,2,3,0,1,3,0,4,2
89,4,5,5,9,0,3,1,3,1,5,0,1,2,1,3,1,3,1,0
80,1,38,42,12,4,2,3,0,2,4,3,0,3,1,1,2,3,4,2
12,6,92,99,12,0,1,4,2,3,5,4,1,2,2,2,4,0,0,0
75,4,25,6,14,2,3,2,2,4,4,3,2,2,1,0,2,1,2,0
53,4,93,71,10,2,0,4,1,2,2,4,3,0,1,4,0,4,1,0
43,4,51,30,18,0,0,2,1,3,1,0,4,1,3,0,1,1,2,0
57,6,80,0,12,2,3,2,3,4,2,4,2,2,1,0,2,1,1,3
10,5,21,21,7,2,2,4,0,1,2,4,2,4,0,2,0,3,0,4
1,0,35,87,1,4,3,0,0,2,5,4,1,1,1,0,1,1,2,4
96,1,7,79,7,4,0,2,0,2,2,1,3,0,3,4,1,3,3,0
29,5,76,81,7,1,3,2,3,4,2,2,2,4,3,0,0,2,2,3
98,1,93,71,16,4,1,0,0,3,0,2,3,0,3,2,4,2,2,2
52,6,15,98,14,0,2,2,1,0,4,0,0,1,1,1,2,3,4,1
65,5,37,39,17,2,0,1,0,1,1,0,4,3,0,4,1,2,1,3
15,0,93,71,7,1,3,1,3,2,2,0,2,0,1,0,2,3,2,0
30,3,61,74,12,1,0,4,3,0,0,0,3,0,2,4,2,0,2,0
97,0,51,30,1,4,3,3,3,4,1,0,3,0,0,3,1,1,3,2
1,6,55,70,18,3,0,3,0,2,4,2,4,2,3,0,2,4,1,4
8,4,40,3,4,3,1,4,1,4,0,0,3,2,1,2,0,2,3,2
66,4,36,7,7,3,1,4,2,0,1,2,0,2,4,2,4,4,0,3
21,4,93,71,1,4,3,1,1,1,4,2,1,1,1,3,1,3,2,2
8,4,13,64,19,1,2,2,0,1,4,3,4,1,0,1,0,3,0,0
55,0,11,73,12,0,1,2,0,1,4,3,2,2,0,2,4,0,3,0
57,6,50,14,12,1,3,0,3,2,2,4,2,3,0,3,0,2,1,4
70,0,80,0,16,3,1,1,1,3,0,0,3,1,0,2,0,0,4,0
31,4,49,8,1,3,1,0,1,1,2,1,3,0,1,3,0,4,0,1
93,0,50,14,10,3,1,3,3,3,5,4,1,0,0,2,0,1,1,2
61,0,16,76,1,2,3,3,1,4,2,4,2,0,1,0,1,4,0,3
43,4,28,1,18,1,2,2,1,0,4,2,4,1,0,0,4,1,0,2
54,5,27,25,10,3,1,1,3,2,2,4,3,4,4,2,3,1,4,0
1,6,59,78,3,2,0,1,2,0,0,0,3,1,3,3,0,1,3,3
83,4,77,18,11,4,2,4,3,4,3,0,2,0,1,1,3,4,0,4
18,2,47,54,18,2,2,1,3,2,2,1,2,0,1,2,3,0,1,1
2,3,91,53,10,3,2,1,1,2,3,1,1,2,1,1,2,0,3,1
80,1,39,88,1,2,3,2,2,1,0,1,2,3,3,3,3,2,3,0
2,0,70,0,1,3,1,2,0,1,4,0,1,1,3,2,4,0,0,0
28,6,37,39,16,4,1,1,0,3,1,2,4,2,1,2,0,2,1,0
22,0,22,0,12,0,1,1,3,4,3,0,1,0,1,1,4,1,0,0
39,5,14,0,18,1,0,3,1,4,1,2,4,3,0,4,1,0,2,3
54,5,39,88,15,0,2,2,3,1,5,4,4,2,1,2,0,2,4,3
3,0,2,37,9,3,2,4,1,0,5,4,0,2,1,2,0,4,3,2
36,0,50,0,11,1,2,2,0,2,2,1,3,0,0,3,2,0,0,3
75,4,1,63,12,4,0,3,2,3,5,3,0,0,0,0,2,1,0,0
50,1,55,70,0,4,1,2,3,1,5,3,1,0,3,2,4,3,3,0
94,0,97,65,11,4,3,4,0,2,4,2,2,2,0,0,1,1,1,2
95,4,33,1,1,4,3,4,1,3,3,0,1,1,0,0,0,4,2,1
2,3,4,59,12,3,2,4,1,3,3,0,1,2,2,4,0,0,0,0
92,3,24,17,12,2,3,1,2,2,1,2,3,2,2,3,2,0,0,0
16,4,25,6,15,3,0,2,1,1,5,2,0,2,0,4,3,1,2,4
50,1,54,43,4,1,2,0,3,4,5,3,4,2,3,4,0,0,3,3
13,2,93,71,14,3,0,2,3,0,0,0,2,0,0,4,0,3,2,0
47,5,9,33,9,1,0,0,3,0,2,0,3,0,0,4,0,0,4,3
68,2,29,28,7,4,0,1,2,2,1,2,4,0,2,4,2,0,1,2
20,6,78,2,0,2,2,3,1,2,5,3,1,2,3,1,2,1,2,0
90,1,89,26,13,1,0,4,3,4,1,0,0,3,1,0,0,3,2,1
59,1,24,17,2,4,2,2,2,3,4,3,0,3,0,4,3,2,1,2
14,5,20,40,16,4,1,4,1,4,4,1,0,0,4,2,0,3,0,0
91,2,87,86,10,2,0,3,2,2,0,0,2,4,2,0,0,1,3,0
95,4,13,64,18,1,2,3,1,2,5,3,1,1,0,1,3,0,4,1
98,1,21,0,0,4,1,2,1,2,3,1,1,3,1,1,4,1,1,3
40,6,99,69,18,2,2,2,3,4,2,0,3,2,4,2,3,4,2,4
19,3,3,80,1,0,2,3,1,4,2,4,3,2,2,2,3,4,0,2
77,6,17,44,17,3,0,2,0,1,4,3,2,2,4,4,2,1,0,3
14,5,13,64,0,4,1,2,2,3,4,1,1,0,0,2,0,3,1,4
89,4,23,67,1,0,2,1,2,4,5,3,1,0,0,1,3,2,1,4
52,6,57,0,13,2,3,4,0,2,4,2,0,3,4,0,0,1,2,0
55,0,27,25,4,1,2,1,3,0,4,3,1,2,1,1,0,1,1,2
4,4,1,63,12,2,3,0,3,2,2,0,3,2,1,3,2,2,0,2
54,5,19,57,12,0,1,1,0,0,2,4,2,2,0,2,4,1,1,1
19,4,4,59,1,2,3,1,0,4,1,1,1,0,1,3,2,2,0,3
72,3,90,50,4,4,1,2,0,2,2,1,1,0,2,3,0,1,0,0
35,3,40,3,14,3,1,3,3,2,1,2,0,0,2,2,4,0,0,3
13,2,72,72,8,0,0,2,3,3,3,1,1,4,2,4,0,0,4,1
96,1,52,85,5,2,3,2,1,0,4,3,0,0,1,3,1,3,0,4
4,4,93,71,16,2,3,2,3,2,1,0,0,1,1,3,1,3,2,2
56,5,34,1,18,3,0,3,3,4,1,1,4,4,0,4,0,4,0,3
