ProviderNumber,HospitalName,City,State,ZIPCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Sample,StateAvg
450547,EAST TEXAS MEDICAL CENTER QUITMAN,QUITMAN,TX,75783,WOOD,9037634500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),0 patients,TX_AMI-3
180149,WESTLAKE REGIONAL HOSPITAL,COLUMBIA,KY,42728,ADAIR,2703844753,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,3 patients,KY_AMI-5
100292,SACRED HEART HOSPITAL ON THE EMERALD COAST,MIRAMAR BEACH,FL,32550,WALTON,8502783600,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,FL_SCIP-INF-4
431329,SANFORD MID-DAKOTA HOSPITAL - CAH,CHAMBERLAIN,SD,57325,BRULE,6057345511,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,6 patients,SD_PN-7
390168,BUTLER MEMORIAL HOSPITAL,BUTLER,PA,16001,BUTLER,7242836666,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),54 patients,PA_AMI-3
310025,BAYONNE HOSPITAL CENTER,BAYONNE,NJ,7002,HUDSON,2018585000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,106 patients,NJ_SCIP-VTE-2
521354,SOUTHWEST HEALTH CENTER INC,PLATTEVILLE,WI,53818,GRANT,6083424701,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,0 patients,WI_AMI-7A
100061,MERCY HOSPITAL INC,MIAMI,FL,33133,MIAMI-DADE,3052852121,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,165 patients,FL_SCIP-CARD-2
230095,WEST BRANCH REGIONAL MEDICAL CENTER,WEST BRANCH,MI,48661,OGEMAW,9893456366,Acute Care Hospitals,Government - Local,Yes,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,98 patients,MI_PN-2
490114,WELLMONT LONESOME PINE HOSPITAL,BIG STONE GAP,VA,24219,WISE,7035233111,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,64 patients,VA_PN-3B
